,Year,Month,Conc
0,1986,2,3.01965117454529
1,1986,3,3.05687046051025
2,1986,4,3.10559558868408
3,1986,5,2.99321150779724
4,1986,6,3.02768707275391
5,1986,7,3.08692693710327
6,1986,8,3.08394432067871
7,1986,9,2.99161958694458
8,1986,10,3.11238861083984
9,1986,11,3.07768845558167
10,1986,12,3.11575078964233
11,1987,1,3.08404803276062
12,1987,2,3.14762163162231
13,1987,3,3.05715584754944
14,1987,4,3.07019281387329
15,1987,5,3.04597425460815
16,1987,6,3.08631992340088
17,1987,7,3.06391310691833
18,1987,8,3.05025219917297
19,1987,9,3.07940602302551
20,1987,10,3.09240746498108
21,1987,11,3.08670449256897
22,1987,12,2.89010906219482
23,1988,1,2.8984649181366
24,1988,2,2.91787886619568
25,1988,3,2.93426918983459
26,1988,4,2.9371018409729
27,1988,5,2.93265724182129
28,1988,6,2.92842411994934
29,1988,7,2.89506793022156
30,1988,8,2.84136581420898
31,1988,9,2.94632506370544
32,1988,10,2.91819906234741
33,1988,11,2.85939025878906
34,1988,12,2.93324565887451
35,1989,1,2.90248203277588
36,1989,2,2.90903186798096
37,1989,3,2.90973305702209
38,1989,4,2.86297488212585
39,1989,5,2.92130303382874
40,1989,6,2.86760210990906
41,1989,7,2.92422699928284
42,1989,8,2.93224239349365
43,1989,9,2.92735004425049
44,1989,10,3.06409502029419
45,1989,11,3.06847739219666
46,1989,12,3.13126516342163
47,1990,1,3.17285251617432
48,1990,2,3.15093326568604
49,1990,3,3.20539283752441
50,1990,4,3.17269945144653
51,1990,5,3.23915123939514
52,1990,6,3.56879997253418
53,1990,7,4.11069011688232
54,1990,8,4.10583686828613
55,1990,9,4.09369802474976
56,1990,10,4.17756605148315
57,1990,11,4.19804811477661
58,1990,12,4.14358377456665
59,1991,1,4.17487192153931
60,1991,2,4.05978870391846
61,1991,3,4.04323101043701
62,1991,4,4.14822626113892
63,1991,5,4.2091212272644
64,1991,6,4.1718282699585
65,1991,7,4.21701622009277
66,1991,8,4.24142837524414
67,1991,9,4.25613451004028
68,1991,10,4.31552410125732
69,1991,11,4.61415195465088
70,1991,12,4.53346538543701
71,1992,1,4.58426809310913
72,1992,2,4.55028915405273
73,1992,3,4.57043600082397
74,1992,4,4.57830190658569
75,1992,5,4.57250118255615
76,1992,6,4.61033153533936
77,1992,7,4.54174995422363
78,1992,8,4.63272857666016
79,1992,9,4.64639616012573
80,1992,10,4.64420127868652
81,1992,11,4.67086458206177
82,1992,12,4.64708423614502
83,1993,1,4.67326974868774
84,1993,2,4.67319297790527
85,1993,3,4.67724752426147
86,1993,4,4.66067886352539
87,1993,5,4.65771102905273
88,1993,6,4.71293163299561
89,1993,7,4.65941572189331
90,1993,8,4.68338632583618
91,1993,9,4.67919778823853
92,1993,10,4.66409015655518
93,1993,11,4.66169881820679
94,1993,12,4.75941276550293
95,1994,1,4.91376447677612
96,1994,2,4.92595624923706
97,1994,3,4.91438055038452
98,1994,4,4.90299081802368
99,1994,5,4.91578149795532
100,1994,6,4.89702939987183
101,1994,7,4.86703300476074
102,1994,8,4.84343481063843
103,1994,9,4.83941030502319
104,1994,10,4.83942699432373
105,1994,11,4.82925701141357
106,1994,12,4.82237529754639
107,1995,1,4.83003330230713
108,1995,2,4.84330558776855
109,1995,3,4.84818696975708
110,1995,4,4.83492708206177
111,1995,5,4.84517431259155
112,1995,6,4.8629355430603
113,1995,7,4.85970258712769
114,1995,8,4.86666107177734
115,1995,9,4.89056539535522
116,1995,10,4.98949241638184
117,1995,11,5.11962556838989
118,1995,12,5.15831565856934
119,1996,1,5.27249670028687
120,1996,2,5.40865564346313
121,1996,3,5.40779066085815
122,1996,4,5.63580846786499
123,1996,5,5.69554138183594
124,1996,6,5.72532939910889
125,1996,7,5.78931856155396
126,1996,8,5.78812646865845
127,1996,9,5.83394193649292
128,1996,10,5.83232545852661
129,1996,11,5.82306528091431
130,1996,12,5.8321738243103
131,1997,1,5.81108856201172
132,1997,2,5.83732080459595
133,1997,3,5.81679248809814
134,1997,4,5.81089544296265
135,1997,5,5.90262031555176
136,1997,6,5.97623348236084
137,1997,7,5.98621845245361
138,1997,8,6.06177854537964
139,1997,9,6.27349281311035
140,1997,10,6.39968156814575
141,1997,11,6.53674697875977
142,1997,12,6.61821699142456
143,1998,1,6.60113954544067
144,1998,2,6.58273839950562
145,1998,3,6.64603710174561
146,1998,4,6.60899972915649
147,1998,5,6.69907093048096
148,1998,6,6.88827848434448
149,1998,7,7.22755241394043
150,1998,8,7.64100933074951
151,1998,9,7.92676639556885
152,1998,10,8.70469284057617
153,1998,11,8.84342575073242
154,1998,12,9.01767635345459
155,1999,1,9.00232219696045
156,1999,2,9.06450080871582
157,1999,3,9.53122329711914
158,1999,4,10.2736501693726
159,1999,5,10.3721313476562
160,1999,6,10.2261238098145
161,1999,7,10.2891178131104
162,1999,8,10.8172016143799
163,1999,9,11.2691097259521
164,1999,10,11.5642442703247
165,1999,11,11.608943939209
166,1999,12,11.6184244155884
167,2000,1,11.4398622512817
168,2000,2,11.2870788574219
169,2000,3,11.2537450790405
170,2000,4,11.1873741149902
171,2000,5,10.8849191665649
172,2000,6,10.4781847000122
173,2000,7,10.1993455886841
174,2000,8,10.1590995788574
175,2000,9,10.5010499954224
176,2000,10,10.5178289413452
177,2000,11,10.7010345458984
178,2000,12,10.7062244415283
179,2001,1,10.655101776123
180,2001,2,10.5686321258545
181,2001,3,10.4751453399658
182,2001,4,10.338773727417
183,2001,5,10.3681974411011
184,2001,6,10.5865459442139
185,2001,7,10.084264755249
186,2001,8,7.76093482971191
187,2001,9,5.8883056640625
188,2001,10,6.08749771118164
189,2001,11,5.62481117248535
190,2001,12,5.29912757873535
191,2002,1,5.65786552429199
192,2002,2,5.74389505386353
193,2002,3,5.68406963348389
194,2002,4,6.24302339553833
195,2002,5,5.62966823577881
196,2002,6,5.92695665359497
197,2002,7,11.1522397994995
198,2002,8,11.2827482223511
199,2002,9,10.9229831695557
200,2002,10,11.5035305023193
201,2002,11,11.4610433578491
202,2002,12,11.5254878997803
203,2003,1,11.8227262496948
204,2003,2,11.6494169235229
205,2003,3,11.6623935699463
206,2003,4,11.3082208633423
207,2003,5,11.341778755188
208,2003,6,10.327823638916
209,2003,7,9.75800609588623
210,2003,8,9.47177028656006
211,2003,9,9.44364070892334
212,2003,10,9.38423347473145
213,2003,11,9.31456470489502
214,2003,12,9.36803340911865
215,2004,1,9.33980178833008
216,2004,2,9.32629776000977
217,2004,3,9.28466606140137
218,2004,4,9.32602119445801
219,2004,5,9.28821754455566
220,2004,6,9.30778312683105
221,2004,7,9.25260066986084
222,2004,8,9.17545318603516
223,2004,9,9.1590461730957
224,2004,10,9.11268424987793
225,2004,11,9.0859375
226,2004,12,9.08482646942139
227,2005,1,9.10589027404785
228,2005,2,9.09661865234375
229,2005,3,9.16390800476074
230,2005,4,9.14028549194336
231,2005,5,9.12947368621826
232,2005,6,9.07889652252197
233,2005,7,8.97889614105225
234,2005,8,8.93550872802734
235,2005,9,8.93411636352539
236,2005,10,8.94710636138916
237,2005,11,8.90896701812744
238,2005,12,8.9108772277832
239,2006,1,8.8956823348999
240,2006,2,8.90295600891113
241,2006,3,8.88190078735352
242,2006,4,8.72646045684814
243,2006,5,8.62663459777832
244,2006,6,8.56606960296631
245,2006,7,8.53490543365479
246,2006,8,8.47810173034668
247,2006,9,8.49054050445557
248,2006,10,8.49786567687988
249,2006,11,8.53359699249268
250,2006,12,8.61983680725098
251,2007,1,8.67982578277588
252,2007,2,8.70513343811035
253,2007,3,8.63280582427979
254,2007,4,8.60207176208496
255,2007,5,8.66215515136719
256,2007,6,8.57235240936279
257,2007,7,8.52846717834473
258,2007,8,8.48611259460449
259,2007,9,8.46206665039062
260,2007,10,8.4606876373291
261,2007,11,8.50918388366699
262,2007,12,8.83254051208496
263,2008,1,9.0118579864502
264,2008,2,9.17339706420898
265,2008,3,9.37445068359375
266,2008,4,10.0631942749023
267,2008,5,10.0520753860474
268,2008,6,9.11092948913574
269,2008,7,9.53682994842529
270,2008,8,10.0341463088989
271,2008,9,9.9021577835083
272,2008,10,9.851243019104
273,2008,11,9.73357200622559
274,2008,12,9.68420124053955
275,2009,1,9.66517734527588
276,2009,2,9.57265567779541
277,2009,3,9.4360466003418
278,2009,4,9.40640735626221
279,2009,5,9.43257713317871
280,2009,6,9.39966011047363
281,2009,7,9.37070941925049
282,2009,8,9.33452796936035
283,2009,9,9.27030563354492
284,2009,10,9.20050430297852
285,2009,11,8.09706783294678
286,2009,12,8.10996055603027
287,2010,1,8.01349639892578
288,2010,2,7.9440860748291
289,2010,3,7.90903854370117
290,2010,4,7.88618516921997
291,2010,5,7.88144588470459
292,2010,6,7.81569051742554
293,2010,7,7.72109127044678
294,2010,8,7.65235948562622
295,2010,9,7.309326171875
296,2010,10,7.24850511550903
297,2010,11,7.21347570419312
298,2010,12,7.14672088623047
299,2011,1,7.12474870681763
300,2011,2,7.11532258987427
301,2011,3,7.06205224990845
302,2011,4,7.07831859588623
303,2011,5,7.1177716255188
304,2011,6,7.67534780502319
305,2011,7,7.24624633789062
306,2011,8,7.10936403274536
307,2011,9,7.09429740905762
308,2011,10,7.14655828475952
309,2011,11,7.23212671279907
310,2011,12,7.33824443817139
311,2012,1,7.4066104888916
312,2012,2,7.53785991668701
313,2012,3,7.61831903457642
314,2012,4,7.62322282791138
315,2012,5,7.75166940689087
316,2012,6,7.19591283798218
317,2012,7,7.12176752090454
318,2012,8,7.00848770141602
319,2012,9,6.88865661621094
320,2012,10,6.91567468643188
321,2012,11,7.21581745147705
322,2012,12,7.28070640563965
323,2013,1,7.3417010307312
324,2013,2,7.41058444976807
325,2013,3,7.58527278900146
326,2013,4,7.58801794052124
327,2013,5,7.70596265792847
328,2013,6,7.66092443466187
329,2013,7,7.52255439758301
330,2013,8,7.49030447006226
331,2013,9,7.48821353912354
332,2013,10,7.44367790222168
333,2013,11,7.43022060394287
334,2013,12,7.67923641204834
335,2014,1,7.72524642944336
336,2014,2,7.85635089874268
337,2014,3,7.64505052566528
338,2014,4,7.86275720596313
339,2014,5,7.74280309677124
340,2014,6,7.79365682601929
341,2014,7,7.66364192962646
342,2014,8,7.5892915725708
343,2014,9,7.57805109024048
344,2014,10,7.47049760818481
345,2014,11,7.59207153320312
346,2014,12,7.56411218643188
347,2015,1,7.53949451446533
348,2015,2,7.51561069488525
349,2015,3,7.5539174079895
350,2015,4,7.57163524627686
351,2015,5,7.65894317626953
352,2015,6,7.82831764221191
353,2015,7,7.63380813598633
354,2015,8,7.51241683959961
355,2015,9,7.64055490493774
356,2015,10,7.53257131576538
357,2015,11,7.62326335906982
358,2015,12,7.63323974609375
359,2016,1,7.48419094085693
360,2016,2,7.56272220611572
361,2016,3,7.73549222946167
362,2016,4,7.69463872909546
363,2016,5,7.61923742294312
364,2016,6,7.62623739242554
365,2016,7,7.6351842880249
366,2016,8,7.512610912323
367,2016,9,7.63692426681519
368,2016,10,7.53525114059448
369,2016,11,7.53477430343628
370,2016,12,7.67204570770264
371,2017,1,7.68485975265503
372,2017,2,7.58655881881714
373,2017,3,7.7123761177063
374,2017,4,7.66961622238159
375,2017,5,7.49081754684448
376,2017,6,7.40090894699097
377,2017,7,7.46737384796143
378,2017,8,7.28968191146851
379,2017,9,7.30567455291748
380,2017,10,7.23839521408081
381,2017,11,7.26313352584839
382,2017,12,6.74338960647583
383,2018,1,6.57787895202637
384,2018,2,7.34454441070557
385,2018,3,6.62789106369019
386,2018,4,6.50121116638184
387,2018,5,6.15510845184326
388,2018,6,6.13043642044067
389,2018,7,6.10689830780029
390,2018,8,6.198486328125
391,2018,9,6.20569562911987
392,2018,10,6.11247730255127
393,2018,11,6.13501834869385
394,2018,12,6.11552667617798
395,2019,1,6.09378099441528
396,2019,2,6.1200647354126
397,2019,3,6.15019273757935
398,2019,4,6.39407062530518
399,2019,5,6.2082052230835
400,2019,6,6.21847105026245
401,2019,7,6.25116586685181
402,2019,8,6.11200761795044
403,2019,9,6.22526407241821
404,2019,10,6.15067291259766
405,2019,11,6.15111398696899
406,2019,12,6.17536354064941
407,2020,1,6.19857215881348
408,2020,2,6.59210348129272
409,2020,3,6.42828321456909
410,2020,4,6.12904357910156
411,2020,5,6.1285228729248
412,2020,6,6.5275182723999
413,2020,7,6.9460597038269
414,2020,8,6.9525933265686
415,2020,9,6.9244179725647
416,2020,10,7.02556562423706
417,2020,11,7.0512752532959
418,2021,12,5.891737911671211
419,2022,12,5.552116630104854
420,2023,12,5.1751256312988305
421,2024,12,4.774673222356152
