,Year,Month,Conc
0,1986,2,1.51594316959381
1,1986,3,1.48370814323425
2,1986,4,1.49681520462036
3,1986,5,1.50501453876495
4,1986,6,1.50656318664551
5,1986,7,1.48225355148315
6,1986,8,1.46984112262726
7,1986,9,1.52028012275696
8,1986,10,1.45844888687134
9,1986,11,1.48985922336578
10,1986,12,1.46287953853607
11,1987,1,1.47944140434265
12,1987,2,1.44093286991119
13,1987,3,1.48301875591278
14,1987,4,1.47670519351959
15,1987,5,1.47873961925507
16,1987,6,1.47670638561249
17,1987,7,1.48298859596252
18,1987,8,1.50624978542328
19,1987,9,1.47668313980103
20,1987,10,1.46491575241089
21,1987,11,1.4718611240387
22,1987,12,1.54553472995758
23,1988,1,1.46791219711304
24,1988,2,1.48414647579193
25,1988,3,1.47517824172974
26,1988,4,1.46683955192566
27,1988,5,1.47125172615051
28,1988,6,1.48009216785431
29,1988,7,1.53996205329895
30,1988,8,1.57183182239532
31,1988,9,1.48946464061737
32,1988,10,1.49888968467712
33,1988,11,1.55109548568726
34,1988,12,1.50779783725739
35,1989,1,1.52444612979889
36,1989,2,1.58410596847534
37,1989,3,1.68327009677887
38,1989,4,1.69441521167755
39,1989,5,1.71723306179047
40,1989,6,1.75988209247589
41,1989,7,1.7517112493515
42,1989,8,1.74102187156677
43,1989,9,1.76569151878357
44,1989,10,1.76425969600677
45,1989,11,1.80235195159912
46,1989,12,1.78743922710419
47,1990,1,1.863520860672
48,1990,2,2.01330256462097
49,1990,3,2.01956653594971
50,1990,4,2.03284311294556
51,1990,5,2.09357881546021
52,1990,6,2.11572647094727
53,1990,7,2.07211756706238
54,1990,8,2.08480381965637
55,1990,9,2.07161951065063
56,1990,10,2.06847143173218
57,1990,11,2.02379441261292
58,1990,12,2.04860210418701
59,1991,1,2.00522994995117
60,1991,2,2.03217005729675
61,1991,3,2.07051014900208
62,1991,4,2.07724452018738
63,1991,5,2.09214401245117
64,1991,6,2.07836031913757
65,1991,7,2.13358569145203
66,1991,8,2.18918466567993
67,1991,9,2.18266177177429
68,1991,10,2.24118781089783
69,1991,11,2.19437074661255
70,1991,12,2.24116396903992
71,1992,1,2.21435165405273
72,1992,2,2.22135806083679
73,1992,3,2.27629613876343
74,1992,4,2.2612419128418
75,1992,5,2.22989749908447
76,1992,6,2.21238112449646
