,Year,Month,Conc
0,1986,2,2689.296875
1,1986,3,2688.58740234375
2,1986,4,2678.7412109375
3,1986,5,2697.24731445312
4,1986,6,2684.84497070312
5,1986,7,2668.83178710938
6,1986,8,2650.61547851562
7,1986,9,2656.44458007812
8,1986,10,2642.98046875
9,1986,11,2655.43017578125
10,1986,12,2647.34228515625
11,1987,1,2696.76416015625
12,1987,2,2727.24633789062
13,1987,3,2744.01171875
14,1987,4,2725.57739257812
15,1987,5,2708.94555664062
16,1987,6,2727.43310546875
17,1987,7,2778.0029296875
18,1987,8,2814.96630859375
19,1987,9,2826.90600585938
20,1987,10,2998.68505859375
21,1987,11,3154.17602539062
22,1987,12,3193.52026367188
23,1988,1,3180.03759765625
24,1988,2,3207.47998046875
25,1988,3,3189.86352539062
26,1988,4,3401.85620117188
27,1988,5,3584.240234375
28,1988,6,3598.29296875
29,1988,7,3597.16796875
30,1988,8,3535.09716796875
31,1988,9,3463.88403320312
32,1988,10,3457.76879882812
33,1988,11,3412.16064453125
34,1988,12,3904.8046875
35,1989,1,4343.18359375
36,1989,2,4329.63916015625
37,1989,3,4325.44775390625
38,1989,4,4442.197265625
39,1989,5,4438.86962890625
40,1989,6,4424.5576171875
41,1989,7,4449.97119140625
42,1989,8,4474.91748046875
43,1989,9,4438.724609375
44,1989,10,4468.18115234375
45,1989,11,4386.48486328125
46,1989,12,4244.236328125
47,1990,1,3999.99389648438
48,1990,2,4220.45166015625
49,1990,3,4238.0673828125
50,1990,4,4207.1103515625
51,1990,5,4175.61865234375
52,1990,6,4152.89892578125
53,1990,7,4115.26806640625
54,1990,8,4022.80883789062
55,1990,9,4015.80102539062
56,1990,10,3966.87573242188
57,1990,11,3934.56958007812
58,1990,12,3948.056640625
59,1991,1,3878.47387695312
60,1991,2,3834.36840820312
61,1991,3,3863.92724609375
62,1991,4,3825.93212890625
63,1991,5,3878.62622070312
64,1991,6,3900.326171875
65,1991,7,3891.72119140625
66,1991,8,3918.7158203125
67,1991,9,3982.49682617188
68,1991,10,3944.7568359375
69,1991,11,3946.66479492188
70,1991,12,3984.72900390625
71,1992,1,3976.96313476562
72,1992,2,4039.74145507812
73,1992,3,3991.8603515625
74,1992,4,4008.67309570312
75,1992,5,3982.04760742188
76,1992,6,3940.478515625
77,1992,7,3887.88671875
78,1992,8,3902.88256835938
79,1992,9,3872.71655273438
80,1992,10,3881.23828125
81,1992,11,3848.52954101562
82,1992,12,3822.31591796875
83,1993,1,3835.09350585938
84,1993,2,3844.06030273438
85,1993,3,3782.00610351562
86,1993,4,3774.533203125
87,1993,5,3742.37939453125
88,1993,6,3525.90869140625
89,1993,7,3598.42749023438
90,1993,8,3594.837890625
91,1993,9,3749.65478515625
92,1993,10,3768.06005859375
93,1993,11,3773.3056640625
94,1993,12,3784.4130859375
95,1994,1,3791.77319335938
96,1994,2,3811.25170898438
97,1994,3,3785.439453125
98,1994,4,3773.7275390625
99,1994,5,3759.51000976562
100,1994,6,3732.431640625
101,1994,7,3729.63793945312
102,1994,8,3713.0517578125
103,1994,9,3701.12426757812
104,1994,10,3641.98510742188
105,1994,11,3562.67919921875
106,1994,12,3595.15063476562
107,1995,1,3587.7255859375
108,1995,2,3599.69677734375
109,1995,3,3626.81909179688
110,1995,4,3588.23754882812
111,1995,5,3610.25317382812
112,1995,6,3654.232421875
113,1995,7,3639.04516601562
114,1995,8,3602.68041992188
115,1995,9,3624.18017578125
116,1995,10,3651.04345703125
117,1995,11,3650.251953125
118,1995,12,3695.58520507812
119,1996,1,3701.68676757812
120,1996,2,3676.54443359375
121,1996,3,3654.23120117188
122,1996,4,3694.08764648438
123,1996,5,3702.12158203125
124,1996,6,3697.76953125
125,1996,7,3680.48071289062
126,1996,8,3668.95263671875
127,1996,9,3629.93627929688
128,1996,10,3594.30883789062
129,1996,11,3519.30541992188
130,1996,12,3512.57250976562
131,1997,1,3473.41137695312
132,1997,2,3360.03393554688
133,1997,3,3369.71923828125
134,1997,4,3346.76123046875
135,1997,5,3352.080078125
136,1997,6,3301.7275390625
137,1997,7,3308.66845703125
138,1997,8,3236.12084960938
139,1997,9,3198.291015625
140,1997,10,3190.39575195312
141,1997,11,3209.31518554688
142,1997,12,3222.04418945312
143,1998,1,3170.21923828125
144,1998,2,3188.88891601562
145,1998,3,3174.94458007812
146,1998,4,3221.11645507812
147,1998,5,3263.19873046875
148,1998,6,3358.40844726562
149,1998,7,3393.47045898438
150,1998,8,3364.20581054688
151,1998,9,3255.09765625
152,1998,10,3141.34643554688
153,1998,11,3088.21337890625
154,1998,12,3058.67578125
155,1999,1,3021.38354492188
156,1999,2,2904.01489257812
157,1999,3,2848.0185546875
158,1999,4,2833.24365234375
159,1999,5,2718.33813476562
160,1999,6,2686.31860351562
161,1999,7,2699.03271484375
162,1999,8,2677.60375976562
163,1999,9,2716.44506835938
164,1999,10,2706.337890625
165,1999,11,2608.59619140625
166,1999,12,2481.35791015625
167,2000,1,2352.57788085938
168,2000,2,2143.60791015625
169,2000,3,2041.77087402344
170,2000,4,2016.59680175781
171,2000,5,1954.11328125
172,2000,6,1699.48083496094
173,2000,7,1626.97326660156
174,2000,8,1585.046875
175,2000,9,1452.9951171875
176,2000,10,1403.62902832031
177,2000,11,1371.82458496094
178,2000,12,1317.00708007812
179,2001,1,1298.60693359375
180,2001,2,1274.67333984375
181,2001,3,1247.79235839844
182,2001,4,1214.31323242188
183,2001,5,1176.083984375
184,2001,6,1113.15380859375
185,2001,7,1072.50769042969
186,2001,8,1009.38940429688
187,2001,9,954.998474121094
188,2001,10,826.638488769531
189,2001,11,742.85009765625
190,2001,12,677.033874511719
191,2002,1,649.851440429688
192,2002,2,628.176696777344
193,2002,3,615.97119140625
194,2002,4,594.774353027344
195,2002,5,565.019836425781
196,2002,6,539.443298339844
197,2002,7,495.911987304688
198,2002,8,449.745697021484
199,2002,9,455.283905029297
200,2002,10,452.851959228516
201,2002,11,447.461700439453
202,2002,12,445.408447265625
203,2003,1,441.006439208984
204,2003,2,433.122741699219
205,2003,3,427.618804931641
206,2003,4,423.1376953125
207,2003,5,412.641662597656
208,2003,6,404.768951416016
209,2003,7,266.044677734375
210,2003,8,220.583755493164
211,2003,9,220.473937988281
212,2003,10,215.941925048828
213,2003,11,215.002655029297
214,2003,12,214.788497924805
215,2004,1,212.125518798828
216,2004,2,209.863861083984
217,2004,3,208.129943847656
218,2004,4,202.655700683594
219,2004,5,196.19255065918
220,2004,6,194.639633178711
221,2004,7,191.659805297852
222,2004,8,187.784652709961
223,2004,9,185.752746582031
224,2004,10,182.614181518555
225,2004,11,181.19140625
226,2004,12,181.527801513672
227,2005,1,180.905517578125
228,2005,2,180.303848266602
229,2005,3,182.647262573242
230,2005,4,184.866653442383
231,2005,5,202.356842041016
232,2005,6,195.977600097656
233,2005,7,185.683502197266
234,2005,8,180.5078125
235,2005,9,177.371658325195
236,2005,10,175.328918457031
237,2005,11,176.376815795898
238,2005,12,176.115814208984
239,2006,1,175.067352294922
240,2006,2,172.644485473633
241,2006,3,176.17155456543
242,2006,4,176.26741027832
243,2006,5,179.925430297852
244,2006,6,186.401718139648
245,2006,7,185.941986083984
246,2006,8,187.77229309082
247,2006,9,187.276290893555
248,2006,10,185.873336791992
249,2006,11,184.237243652344
250,2006,12,183.030426025391
251,2007,1,182.949295043945
252,2007,2,183.991073608398
253,2007,3,183.274566650391
254,2007,4,181.415390014648
255,2007,5,180.984771728516
256,2007,6,175.087051391602
257,2007,7,164.277114868164
258,2007,8,167.117034912109
259,2007,9,176.129608154297
260,2007,10,173.645523071289
261,2007,11,169.076599121094
262,2007,12,168.143157958984
263,2008,1,167.626770019531
264,2008,2,167.711883544922
265,2008,3,167.139495849609
266,2008,4,168.725921630859
267,2008,5,169.379989624023
268,2008,6,168.821548461914
269,2008,7,168.397583007812
270,2008,8,163.748962402344
271,2008,9,163.047775268555
272,2008,10,163.540512084961
273,2008,11,171.959411621094
274,2008,12,175.2138671875
275,2009,1,175.209808349609
276,2009,2,173.797988891602
277,2009,3,172.992935180664
278,2009,4,172.580200195312
279,2009,5,172.435317993164
280,2009,6,171.581207275391
281,2009,7,171.571884155273
282,2009,8,168.381454467773
283,2009,9,167.7900390625
284,2009,10,166.634155273438
285,2009,11,164.827102661133
286,2009,12,158.774459838867
287,2010,1,153.056976318359
288,2010,2,159.242553710938
289,2010,3,162.879516601562
290,2010,4,161.766723632812
291,2010,5,159.543640136719
292,2010,6,158.893615722656
293,2010,7,158.744262695312
294,2010,8,159.252517700195
295,2010,9,151.430084228516
296,2010,10,149.399444580078
297,2010,11,156.883926391602
298,2010,12,160.842727661133
299,2011,1,161.537002563477
300,2011,2,161.184967041016
301,2011,3,160.125122070312
302,2011,4,159.979110717773
303,2011,5,160.077697753906
304,2011,6,160.514434814453
305,2011,7,160.02571105957
306,2011,8,162.6279296875
307,2011,9,163.123901367188
308,2011,10,162.888809204102
309,2011,11,162.288772583008
310,2011,12,162.465789794922
311,2012,1,161.565551757812
312,2012,2,161.635894775391
313,2012,3,160.378936767578
314,2012,4,160.547103881836
315,2012,5,160.036407470703
316,2012,6,160.263092041016
317,2012,7,159.743835449219
318,2012,8,161.378921508789
319,2012,9,162.654083251953
320,2012,10,162.681060791016
321,2012,11,163.084609985352
322,2012,12,162.207168579102
323,2013,1,162.128982543945
324,2013,2,162.440872192383
325,2013,3,162.642501831055
326,2013,4,162.011993408203
327,2013,5,165.157028198242
328,2013,6,165.914016723633
329,2013,7,166.661178588867
330,2013,8,166.491424560547
331,2013,9,166.418975830078
332,2013,10,167.971542358398
333,2013,11,168.242370605469
334,2013,12,167.82666015625
335,2014,1,168.495040893555
336,2014,2,168.138229370117
337,2014,3,169.450424194336
338,2014,4,166.753570556641
339,2014,5,166.72444152832
340,2014,6,166.511520385742
341,2014,7,167.66194152832
342,2014,8,169.424255371094
343,2014,9,169.450241088867
344,2014,10,169.801345825195
345,2014,11,170.011474609375
346,2014,12,170.540924072266
347,2015,1,170.135025024414
348,2015,2,170.020782470703
349,2015,3,169.997604370117
350,2015,4,169.465103149414
351,2015,5,168.992401123047
352,2015,6,168.426895141602
353,2015,7,169.775863647461
354,2015,8,170.783126831055
355,2015,9,170.021331787109
356,2015,10,170.469345092773
357,2015,11,169.702224731445
358,2015,12,169.330093383789
359,2016,1,180.577178955078
360,2016,2,186.097030639648
361,2016,3,186.356399536133
362,2016,4,186.014068603516
363,2016,5,185.567947387695
364,2016,6,185.273498535156
365,2016,7,184.705688476562
366,2016,8,185.383239746094
367,2016,9,184.67170715332
368,2016,10,185.275177001953
369,2016,11,185.403030395508
370,2016,12,184.647506713867
371,2017,1,184.998931884766
372,2017,2,185.285736083984
373,2017,3,184.788345336914
374,2017,4,185.103973388672
375,2017,5,186.033233642578
376,2017,6,186.915679931641
377,2017,7,186.049362182617
378,2017,8,187.224319458008
379,2017,9,186.760299682617
380,2017,10,186.079223632812
381,2017,11,185.482879638672
382,2017,12,184.886779785156
383,2018,1,184.283126831055
384,2018,2,182.498626708984
385,2018,3,183.846664428711
386,2018,4,183.978240966797
387,2018,5,183.710479736328
388,2018,6,185.4130859375
389,2018,7,184.999481201172
390,2018,8,184.353912353516
391,2018,9,183.95654296875
392,2018,10,184.15478515625
393,2018,11,183.251922607422
394,2018,12,182.879348754883
395,2019,1,182.517059326172
396,2019,2,181.959335327148
397,2019,3,181.554000854492
398,2019,4,180.976211547852
399,2019,5,181.053665161133
400,2019,6,180.951675415039
401,2019,7,180.887832641602
402,2019,8,181.755630493164
403,2019,9,180.938552856445
404,2019,10,181.077987670898
405,2019,11,180.659103393555
406,2019,12,180.595855712891
407,2020,1,180.371032714844
408,2020,2,179.758041381836
409,2020,3,179.217910766602
410,2020,4,179.822189331055
411,2020,5,179.576263427734
412,2020,6,179.642807006836
413,2020,7,179.375854492188
414,2020,8,179.156463623047
415,2020,9,179.01692199707
416,2020,10,178.653991699219
417,2020,11,178.894119262695
418,2021,12,180.371032714844
419,2022,12,180.371032714844
420,2023,12,180.371032714844
421,2024,12,180.371032714844
422,2025,12,180.371032714844
