,Year,Month,Conc
0,1986,2,0.777738034725189
1,1986,3,0.774194180965424
2,1986,4,0.774982869625092
3,1986,5,0.775245904922485
4,1986,6,0.775652468204498
5,1986,7,0.775318145751953
6,1986,8,0.775833189487457
7,1986,9,0.779508173465729
8,1986,10,0.772835433483124
9,1986,11,0.774611473083496
10,1986,12,0.772253155708313
11,1987,1,0.774013936519623
12,1987,2,0.770271778106689
13,1987,3,0.774310052394867
14,1987,4,0.773930132389069
15,1987,5,0.773578584194183
16,1987,6,0.774253249168396
17,1987,7,0.774020493030548
18,1987,8,0.777479350566864
19,1987,9,0.774433434009552
20,1987,10,0.77326899766922
21,1987,11,0.773941874504089
22,1987,12,0.780540466308594
23,1988,1,0.771919667720795
24,1988,2,0.77449506521225
25,1988,3,0.772898554801941
26,1988,4,0.772600173950195
27,1988,5,0.771376132965088
28,1988,6,0.771742224693298
29,1988,7,0.777238249778748
30,1988,8,0.779749751091003
31,1988,9,0.77283775806427
32,1988,10,0.773387908935547
33,1988,11,0.778474748134613
34,1988,12,0.773336231708527
35,1989,1,0.773514151573181
36,1989,2,0.773193657398224
37,1989,3,0.77522474527359
38,1989,4,0.775350511074066
39,1989,5,0.774668216705322
40,1989,6,0.778992891311646
41,1989,7,0.775710940361023
42,1989,8,0.774613738059998
43,1989,9,0.776020586490631
44,1989,10,0.772898554801941
45,1989,11,0.775404989719391
46,1989,12,0.771922767162323
47,1990,1,0.772110402584076
48,1990,2,0.777972757816315
49,1990,3,0.774188816547394
50,1990,4,0.775780498981476
51,1990,5,0.776942193508148
52,1990,6,0.77841317653656
53,1990,7,0.773946702480316
54,1990,8,0.777360498905182
55,1990,9,0.775029718875885
56,1990,10,0.776205897331238
57,1990,11,0.774977803230286
58,1990,12,0.779937624931335
59,1991,1,0.773524045944214
60,1991,2,0.77241712808609
61,1991,3,0.776699304580688
62,1991,4,0.778108954429626
63,1991,5,0.778032302856445
64,1991,6,0.773580849170685
65,1991,7,0.772532999515533
66,1991,8,0.775469899177551
67,1991,9,0.774310052394867
68,1991,10,0.77754271030426
69,1991,11,0.774181425571442
70,1991,12,0.775165200233459
71,1992,1,0.772725939750671
72,1992,2,0.772597372531891
73,1992,3,0.777055680751801
74,1992,4,0.77596378326416
75,1992,5,0.773817896842957
76,1992,6,0.772654175758362
77,1992,7,0.778285145759583
78,1992,8,0.776697516441345
79,1992,9,0.775828123092651
80,1992,10,0.774189054965973
81,1992,11,0.779142320156097
82,1992,12,0.774188578128815
83,1993,1,0.777305483818054
84,1993,2,0.773820459842682
85,1993,3,0.774191379547119
86,1993,4,0.776887714862823
87,1993,5,0.773338735103607
88,1993,6,0.780906617641449
89,1993,7,0.77696818113327
90,1993,8,0.775222480297089
91,1993,9,0.776506304740906
92,1993,10,0.774549543857574
93,1993,11,0.77528327703476
94,1993,12,0.772597372531891
95,1994,1,0.776222467422485
96,1994,2,0.773580849170685
97,1994,3,0.773939549922943
98,1994,4,0.778688669204712
99,1994,5,0.771986901760101
100,1994,6,0.775595664978027
101,1994,7,0.776074826717377
102,1994,8,0.774857103824615
103,1994,9,0.773146271705627
104,1994,10,0.773570895195007
105,1994,11,0.775771081447601
106,1994,12,0.776129245758057
107,1995,1,0.776220679283142
108,1995,2,0.772100985050201
109,1995,3,0.771920204162598
110,1995,4,0.777488768100739
111,1995,5,0.77668297290802
112,1995,6,0.773811042308807
113,1995,7,0.776942729949951
114,1995,8,0.778158068656921
115,1995,9,0.771618783473969
116,1995,10,0.772963523864746
117,1995,11,0.777844965457916
118,1995,12,0.77369213104248
119,1996,1,0.775541186332703
120,1996,2,0.775642514228821
121,1996,3,0.772229790687561
122,1996,4,0.778452396392822
123,1996,5,0.777859747409821
124,1996,6,0.776911616325378
125,1996,7,0.773232340812683
126,1996,8,0.774346888065338
127,1996,9,0.780168533325195
128,1996,10,0.778046309947968
129,1996,11,0.779025197029114
130,1996,12,0.781334340572357
131,1997,1,0.780680775642395
132,1997,2,0.780184090137482
133,1997,3,0.781069278717041
134,1997,4,0.780640602111816
135,1997,5,0.790860176086426
136,1997,6,0.790341317653656
137,1997,7,0.791464030742645
138,1997,8,0.794959485530853
139,1997,9,0.838204383850098
140,1997,10,1.34638810157776
141,1997,11,2.75471687316895
142,1997,12,2.78316879272461
143,1998,1,2.82970571517944
144,1998,2,2.74553203582764
145,1998,3,2.7734010219574
146,1998,4,2.93444681167603
147,1998,5,2.96076846122742
148,1998,6,2.97965526580811
149,1998,7,2.9676775932312
150,1998,8,2.9848940372467
151,1998,9,2.9657347202301
152,1998,10,2.97038984298706
153,1998,11,2.98052406311035
154,1998,12,2.96477675437927
155,1999,1,2.99882411956787
