Year,Month,Concentration
1986,1,33.3785134317365
1986,2,33.3785134317365
1986,3,33.3785134317365
1986,4,33.3785134317365
1986,5,33.3785134317365
1986,6,33.3785134317365
1986,7,33.3785134317365
1986,8,33.3785134317365
1986,9,33.3785134317365
1986,10,33.3785134317365
1986,11,33.3785134317365
1986,12,33.3785134317365
1987,1,33.3785134317365
1987,2,33.3806657145004
1987,3,33.3747044157244
1987,4,33.3503636711048
1987,5,33.3416499930865
1987,6,33.3446979422107
1987,7,33.3446979422107
1987,8,33.3446979422107
1987,9,33.4027340195897
1987,10,33.4219531404344
1987,11,33.4219531404344
1987,12,33.4538112032713
1988,1,33.494679293775
1988,2,33.5148451179248
1988,3,33.5148451179248
1988,4,33.4745638694384
1988,5,33.4733578582328
1988,6,33.4990060126849
1988,7,33.4990060126849
1988,8,33.5059333350919
1988,9,33.4887195434286
1988,10,33.4726254673817
1988,11,33.4967255322253
1988,12,33.4991773306931
1989,1,33.5052794583251
1989,2,33.6419691581954
1989,3,33.6769580936843
1989,4,33.8944587953258
1989,5,33.8944587953258
1989,6,33.8944587953258
1989,7,33.8008763632158
1989,8,33.8202432802581
1989,9,33.8218487150793
1989,10,33.8265425177794
1989,11,33.7796913124091
1989,12,33.7796913124091
1990,1,33.7880134861901
1990,2,33.891223315199
1990,3,33.8970765353493
1990,4,33.9058563655748
1990,5,34.3897823196155
1990,6,34.3897823196155
1990,7,34.3747837103975
1990,8,34.5641666883976
1990,9,34.5641666883976
1990,10,34.5453991447847
1990,11,34.6487729694914
1990,12,34.6581708290641
1991,1,34.701601659068
1991,2,34.8069848234614
1991,3,34.8078882111661
1991,4,34.8078882111661
1991,5,34.5601610479653
1991,6,34.5021187872772
1991,7,34.4764848136787
1991,8,34.3820113521195
1991,9,34.3488145669393
1991,10,34.346466267634
1991,11,34.2007438190206
1991,12,34.1873998226464
1992,1,34.0297717094466
1992,2,33.8261924169197
1992,3,33.8211590627958
1992,4,33.8089488602627
1992,5,33.7873445160482
1992,6,33.7937933458781
1992,7,33.809613826198
1992,8,33.8130677926591
1992,9,33.8029070773085
1992,10,33.8029070773085
1992,11,33.803761296883
1992,12,33.8114430185359
1993,1,33.803093070124
1993,2,33.7672633999585
1993,3,33.949934388864
1993,4,33.9699770189046
1993,5,33.9808344093699
1993,6,34.1376345989201
1993,7,34.1360529883513
1993,8,34.3150078680614
1993,9,34.2682231137679
1993,10,34.2682231137679
1993,11,34.2682231137679
1993,12,34.2682231137679
1994,1,34.3630141901839
1994,2,34.5043891672597
1994,3,34.5043891672597
1994,4,34.5043891672597
