Year,Month,Concentration
2010,6,13.3884278598112
2010,7,13.4287428450385
2010,8,13.4632819888354
2010,9,13.4717729683642
2010,10,13.4831165470509
2010,11,13.4978152869698
2010,12,13.4919326818662
2011,1,13.5185563940591
2011,2,13.4669910308627
2011,3,13.3098291483483
2011,4,12.8300011360631
2011,5,12.7208534355051
2011,6,12.7208534355051
2011,7,12.7208534355051
2011,8,12.7208534355051
2011,9,12.7460315481645
2011,10,12.8189004775214
2011,11,12.8775779622704
2011,12,12.8852208522635
2012,1,12.9315981590859
2012,2,13.0527274049107
2012,3,13.0677085484391
2012,4,13.1496440618304
2012,5,13.3668171181624
2012,6,13.6853370402026
2012,7,13.7101913177476
2012,8,13.8303892230491
2012,9,13.8558073029211
2012,10,13.8542822289128
2012,11,13.9248668812053
2012,12,14.091446618715
2013,1,14.2409121753109
2013,2,14.6309098257534
2013,3,14.7496130780234
2013,4,14.7872159719728
2013,5,14.8200500293615
2013,6,14.847415915233
2013,7,14.847415915233
2013,8,14.8476383069869
2013,9,14.8372614059864
2013,10,14.8653009982404
2013,11,14.8728061413966
2013,12,14.8743099562825
2014,1,14.8899213891323
2014,2,14.9084888888118
2014,3,14.9090491623657
2014,4,14.9126442596501
2014,5,14.9192735802781
2014,6,14.9288980964647
2014,7,14.9317434956087
2014,8,14.9611526925385
2014,9,15.0009204468352
2014,10,15.0261368393405
2014,11,15.0305963269143
2014,12,15.0361685301274
