Well name,trend,h,p,z,Tau,s,var_s,slope,intercept
110 Parkland Plaza,decreasing,True,2.3268431625922403e-10,-6.338054604042842,-0.5911949685534591,-846.0,17774.666666666668,-0.2,12.3
170 Aprill,no trend,False,0.7427813404898913,-0.3281723661445365,-0.03968253968253968,-25.0,5348.333333333333,0.0,10.5
175 Jackson Plaza,increasing,True,1.2789991288286728e-11,6.7709959539995275,0.6165413533834586,984.0,21076.666666666668,19.79513888888889,-127.26388888888891
2575 Valley,increasing,True,0.0002772549376877098,3.6356738497026946,0.5947368421052631,113.0,949.0,4.844444444444445,22.477777777777774
2601 Dexter Rd,increasing,True,0.007469328001610487,2.6751614062740816,0.7222222222222222,26.0,87.33333333333333,1.0,-2.0
2643 Dexter Rd,no trend,False,0.2161161937092817,1.236921590407406,0.21052631578947367,36.0,800.6666666666666,0.16666666666666666,2.5
2652 Dexter Rd,decreasing,True,0.0026940309829344145,-3.0006510503141812,-0.2489025460930641,-567.0,35579.666666666664,-0.2889676113360324,26.680414979757085
2690 Dexter Rd,increasing,True,9.880365414716152e-10,6.111330923426649,0.6646341463414634,545.0,7923.666666666667,10.203448275862069,-37.068965517241395
2700 Dexter Rd,increasing,True,7.529158265739966e-06,4.478153142664445,0.7543859649122807,129.0,817.0,20.0,21.0
2805 Dexter Rd,increasing,True,2.6645352591003757e-15,7.903326840237928,0.5631257631257631,2306.0,85059.33333333333,6.4411764705882355,-9.852941176470608
2819 Dexter Rd,no trend,False,0.6154722998475657,-0.5022775485722671,-0.037578886976477335,-131.0,66988.33333333333,-0.5847701149425287,401.76795977011494
305 Pinewood,no trend,False,0.10519250512004152,1.6201851746019649,0.5333333333333333,8.0,18.666666666666668,0.4,0.0
3050 Jackson Rd,no trend,False,0.2596563563704499,-1.1272037239532693,-0.4666666666666667,-7.0,28.333333333333332,-38.0,329.0
3245 Kingwood,decreasing,True,5.735853036981098e-08,-5.426846143628835,-0.8789473684210526,-167.0,935.6666666666666,-3.0,38.0
