Year,Month,Conc
1986,1,NaN
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,0
1996,11,0
1996,12,0
1997,1,0
1997,2,0
1997,3,0
1997,4,0
1997,5,0
1997,6,0
1997,7,0
1997,8,0
1997,9,0
1997,10,0
1997,11,0
1997,12,0
1998,1,0
1998,2,0
1998,3,0
1998,4,0
1998,5,0
1998,6,0
1998,7,0
1998,8,0
1998,9,0
1998,10,0
1998,11,0
1998,12,0
1999,1,0
1999,2,0
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0
1999,10,0
1999,11,0
1999,12,0
2000,1,0
2000,2,0
2000,3,0
2000,4,0
2000,5,0.0108591616153717
2000,6,0.0567281357944012
2000,7,0.0109575195237994
2000,8,1.28900325298309
2000,9,4.31258678436279
2000,10,4.26126766204834
2000,11,4.31737279891968
2000,12,4.27261257171631
2001,1,4.1731162071228
2001,2,4.16665840148926
2001,3,3.80244565010071
2001,4,3.76899337768555
2001,5,3.7967426776886
2001,6,3.79339408874512
2001,7,3.78917479515076
2001,8,3.79300045967102
2001,9,3.70692753791809
2001,10,3.3977165222168
2001,11,3.17962622642517
2001,12,3.05955290794373
2002,1,3.07037472724915
2002,2,3.08664035797119
2002,3,3.08704781532288
2002,4,3.06728672981262
2002,5,3.0203845500946
2002,6,3.01497864723206
2002,7,3.0014922618866
2002,8,2.9951434135437
2002,9,3.01994299888611
2002,10,3.08083462715149
2002,11,3.14254570007324
2002,12,3.20639514923096
2003,1,3.22283339500427
2003,2,3.26058983802795
2003,3,3.29568266868591
2003,4,3.32811713218689
2003,5,3.32913374900818
2003,6,3.3194100856781
2003,7,3.38917016983032
2003,8,3.43821859359741
2003,9,3.45711016654968
2003,10,3.49097084999084
2003,11,3.57905864715576
2003,12,3.62625527381897
2004,1,3.62683868408203
2004,2,3.65349340438843
2004,3,3.67747259140015
2004,4,3.70582365989685
2004,5,3.74159932136536
2004,6,3.7479293346405
2004,7,3.76886820793152
2004,8,3.78609657287598
2004,9,3.84186244010925
2004,10,3.85529017448425
2004,11,3.87478065490723
2004,12,3.92060112953186
2005,1,3.9144914150238
2005,2,3.94804906845093
2005,3,3.97291207313538
2005,4,3.93982076644897
2005,5,3.9603214263916
2005,6,3.96978998184204
2005,7,4.06836605072021
2005,8,4.04880619049072
2005,9,4.01915073394775
2005,10,4.14818811416626
2005,11,4.22558546066284
2005,12,4.27233505249023
2006,1,4.37089872360229
2006,2,4.44195079803467
2006,3,4.47999000549316
2006,4,4.44206428527832
2006,5,4.47846603393555
2006,6,4.5028223991394
2006,7,4.55929756164551
2006,8,4.64344072341919
2006,9,4.67453813552856
2006,10,4.78628969192505
2006,11,4.86739778518677
2006,12,4.93264007568359
2007,1,4.96056413650513
2007,2,4.98885297775269
2007,3,4.97473049163818
2007,4,4.97461938858032
2007,5,5.06008052825928
2007,6,5.11590766906738
2007,7,5.16465377807617
2007,8,5.28508615493774
2007,9,5.28459978103638
2007,10,5.353919506073
2007,11,5.53106784820557
2007,12,5.65074491500854
2008,1,5.77071523666382
2008,2,5.97771787643433
2008,3,6.1300835609436
2008,4,6.1725492477417
2008,5,6.25066900253296
2008,6,6.39286375045776
2008,7,6.42433452606201
2008,8,6.63214063644409
2008,9,6.79278326034546
2008,10,6.77472925186157
2008,11,6.79147005081177
2008,12,6.94084405899048
2009,1,6.9697093963623
2009,2,7.00729942321777
2009,3,7.02692985534668
2009,4,7.09007358551025
2009,5,7.1285834312439
2009,6,7.20466709136963
2009,7,7.22981452941895
2009,8,7.32540559768677
2009,9,7.3804144859314
2009,10,7.40562438964844
2009,11,7.39810466766357
2009,12,7.39157056808472
2010,1,7.41640758514404
2010,2,7.44868755340576
2010,3,7.48319244384766
2010,4,7.5200629234314
2010,5,7.52211809158325
2010,6,7.34159469604492
2010,7,7.32704544067383
2010,8,7.45306491851807
2010,9,7.23742008209229
2010,10,7.29639959335327
2010,11,7.35572624206543
2010,12,7.43816757202148
2011,1,7.48029661178589
2011,2,7.50318288803101
2011,3,7.54496240615845
2011,4,7.5023889541626
2011,5,7.56403350830078
2011,6,7.63856410980225
2011,7,7.65279626846313
2011,8,7.77405643463135
2011,9,7.6934642791748
2011,10,7.72561454772949
2011,11,7.80152416229248
2011,12,7.86354160308838
2012,1,7.89328670501709
2012,2,7.93017148971558
2012,3,8.02370071411133
2012,4,8.10930442810059
2012,5,8.16759586334229
2012,6,8.20245552062988
2012,7,8.2326021194458
2012,8,8.32623291015625
2012,9,8.53121948242188
2012,10,8.52968788146973
2012,11,8.54079627990723
2012,12,8.52678298950195
2013,1,8.54262351989746
2013,2,8.78170871734619
2013,3,8.87442016601562
2013,4,8.87784767150879
2013,5,8.89106464385986
2013,6,8.83059883117676
2013,7,8.8453197479248
2013,8,8.8777551651001
2013,9,9.14437866210938
2013,10,9.18081855773926
2013,11,9.17371845245361
2013,12,9.10432243347168
2014,1,9.03435325622559
2014,2,9.28222370147705
2014,3,9.50819110870361
2014,4,9.49453163146973
2014,5,9.51126289367676
2014,6,9.5314998626709
2014,7,9.54345893859863
2014,8,9.54662895202637
2014,9,9.56796550750732
2014,10,9.46740436553955
2014,11,9.30755710601807
2014,12,9.31343173980713
2015,1,9.30525493621826
2015,2,9.36237621307373
2015,3,9.35788345336914
2015,4,9.51679611206055
2015,5,9.76174449920654
2015,6,9.63484954833984
2015,7,9.66815185546875
2015,8,9.51265048980713
2015,9,9.49334144592285
2015,10,9.54679107666016
2015,11,9.11727428436279
2015,12,9.17701816558838
2016,1,9.25708293914795
2016,2,9.19033432006836
2016,3,9.46950340270996
2016,4,9.59828758239746
2016,5,9.70489978790283
2016,6,9.78576374053955
2016,7,9.76812934875488
2016,8,9.78541946411133
2016,9,9.80896282196045
2016,10,9.81870460510254
2016,11,9.82808208465576
2016,12,9.72814178466797
2017,1,9.69978141784668
2017,2,9.84368324279785
2017,3,9.77435111999512
2017,4,9.77362632751465
2017,5,9.803786277771
2017,6,9.8043737411499
2017,7,9.71411991119385
2017,8,9.62544822692871
2017,9,9.68876075744629
2017,10,10.8855171203613
2017,11,11.1550626754761
2017,12,11.2165832519531
2018,1,11.275951385498
2018,2,10.4069709777832
2018,3,11.1264696121216
2018,4,11.096607208252
2018,5,11.0194215774536
2018,6,11.0674877166748
2018,7,11.0870323181152
2018,8,10.8099851608276
2018,9,10.7502775192261
2018,10,11.1685447692871
2018,11,10.819598197937
2018,12,10.6646661758423
2019,1,11.0146827697754
2019,2,10.934455871582
2019,3,10.7923765182495
2019,4,10.4650621414185
2019,5,10.6686916351318
2019,6,10.7672357559204
2019,7,10.7744932174683
2019,8,11.2237319946289
2019,9,10.8793516159058
2019,10,11.0195255279541
2019,11,10.7534484863281
2019,12,10.9709987640381
2020,1,10.9638051986694
2020,2,10.942964553833
2020,3,10.7499313354492
2020,4,10.9168014526367
2020,5,10.6762075424194
2020,6,10.5913095474243
2020,7,10.1544103622437
2020,8,10.1775388717651
2020,9,10.2234783172607
2020,10,9.87985801696777
2020,11,10.225679397583
2020,12,NaN
