Year,Month,Conc
1986,1,NaN
1986,2,1.10099911689758
1986,3,1.11896097660065
1986,4,1.12016177177429
1986,5,1.14966988563538
1986,6,1.11932682991028
1986,7,1.11958360671997
1986,8,1.13651323318481
1986,9,1.10151243209839
1986,10,1.10539042949677
1986,11,1.15341365337372
1986,12,1.12183737754822
1987,1,1.11827266216278
1987,2,1.12362051010132
1987,3,1.11900997161865
1987,4,1.11944305896759
1987,5,1.11971974372864
1987,6,1.12089931964874
1987,7,1.10452020168304
1987,8,1.11962425708771
1987,9,1.1038990020752
1987,10,1.10190069675446
1987,11,1.12175500392914
1987,12,1.13288903236389
1988,1,1.11975228786469
1988,2,1.10202193260193
1988,3,1.15314638614655
1988,4,1.10523152351379
1988,5,1.10585713386536
1988,6,1.12172770500183
1988,7,1.13491272926331
1988,8,1.10029852390289
1988,9,1.12237954139709
1988,10,1.10469090938568
1988,11,1.11659979820251
1988,12,1.10283994674683
1989,1,1.13621020317078
1989,2,1.11935293674469
1989,3,1.13500046730042
1989,4,1.17006480693817
1989,5,1.11939752101898
1989,6,1.11775600910187
1989,7,1.13512599468231
1989,8,1.10390138626099
1989,9,1.10323119163513
1989,10,1.10458540916443
1989,11,1.13748669624329
1989,12,1.10521745681763
1990,1,1.10456955432892
1990,2,1.13558566570282
1990,3,1.11718821525574
1990,4,1.10150098800659
1990,5,1.11765587329865
1990,6,1.14816069602966
1990,7,1.11294078826904
1990,8,1.09495937824249
1990,9,1.09731638431549
1990,10,1.09627521038055
1990,11,1.11315822601318
1990,12,1.14144349098206
1991,1,1.11268997192383
1991,2,1.13206207752228
1991,3,1.0899612903595
1991,4,1.10936725139618
1991,5,1.12765204906464
1991,6,1.11432313919067
1991,7,1.09910678863525
1991,8,1.11432993412018
1991,9,1.13069641590118
1991,10,1.11126375198364
1991,11,1.11340963840485
1991,12,1.10855531692505
1992,1,1.11193656921387
1992,2,1.11128306388855
1992,3,1.14086103439331
1992,4,1.14135217666626
1992,5,1.13088238239288
1992,6,1.08029985427856
1992,7,1.07721042633057
1992,8,1.08084046840668
1992,9,1.10702848434448
1992,10,1.09031808376312
1992,11,1.10437738895416
1992,12,1.11368536949158
1993,1,1.14615750312805
1993,2,1.13553261756897
1993,3,1.17026555538177
1993,4,1.18053376674652
1993,5,1.20406353473663
1993,6,1.20680594444275
1993,7,1.22271955013275
1993,8,1.23369252681732
1993,9,1.20239984989166
1993,10,1.1893150806427
1993,11,1.23435604572296
1993,12,1.20145177841187
1994,1,1.21372151374817
1994,2,1.23904573917389
1994,3,1.19530665874481
1994,4,1.21749556064606
1994,5,1.17159342765808
1994,6,1.16708219051361
1994,7,1.16463923454285
1994,8,1.18538498878479
1994,9,1.17246031761169
1994,10,1.1802978515625
1994,11,1.18980419635773
1994,12,1.19488382339478
1995,1,1.20962047576904
1995,2,1.18504977226257
1995,3,1.22070515155792
1995,4,1.23092484474182
1995,5,1.29421246051788
1995,6,1.29545724391937
1995,7,1.3232706785202
1995,8,1.27828562259674
1995,9,1.34163451194763
1995,10,1.45569908618927
1995,11,1.4885892868042
1995,12,1.51402056217194
1996,1,1.56829118728638
1996,2,1.60286259651184
1996,3,1.5592280626297
1996,4,1.67914962768555
1996,5,1.73355138301849
1996,6,1.73888838291168
1996,7,1.75604319572449
1996,8,1.75980031490326
1996,9,1.76984858512878
1996,10,1.88795602321625
1996,11,1.89963948726654
1996,12,1.84401106834412
1997,1,1.89434337615967
1997,2,1.93061566352844
1997,3,1.97684597969055
1997,4,1.9731684923172
1997,5,1.98091626167297
1997,6,1.95562040805817
1997,7,1.8700647354126
1997,8,2.30819416046143
1997,9,3.15312695503235
1997,10,3.42322015762329
1997,11,3.66985559463501
1997,12,3.8169310092926
1998,1,3.93816828727722
1998,2,4.01688432693481
1998,3,4.0385947227478
1998,4,4.11730098724365
1998,5,4.22968006134033
1998,6,4.59876680374146
1998,7,4.95717430114746
1998,8,5.1645975112915
1998,9,5.24725437164307
1998,10,5.36100244522095
1998,11,5.38704013824463
1998,12,5.43084526062012
1999,1,5.29215288162231
1999,2,5.27838897705078
1999,3,5.48438692092896
1999,4,5.66475057601929
1999,5,5.59931659698486
1999,6,5.35035800933838
1999,7,5.50603532791138
1999,8,5.62057113647461
1999,9,5.56603336334229
1999,10,5.54779577255249
1999,11,5.58468866348267
1999,12,5.58781480789185
2000,1,5.58464431762695
2000,2,5.57164239883423
2000,3,5.54843664169312
2000,4,5.5881085395813
2000,5,5.63281631469727
2000,6,5.65344142913818
2000,7,5.6500997543335
2000,8,5.64399337768555
2000,9,5.66581249237061
2000,10,5.65821695327759
2000,11,5.65503740310669
2000,12,5.65129947662354
2001,1,5.62289953231812
2001,2,5.60512542724609
2001,3,5.64735889434814
2001,4,5.65707683563232
2001,5,5.63316822052002
2001,6,5.64269351959229
2001,7,5.67557859420776
2001,8,5.6609034538269
