Year,Month,Conc
1986,1,NaN
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,0
1996,11,0
1996,12,0
1997,1,0
1997,2,0
1997,3,0
1997,4,0
1997,5,0
1997,6,0
1997,7,0
1997,8,0
1997,9,0
1997,10,0
1997,11,0
1997,12,0
1998,1,0
1998,2,0
1998,3,0
1998,4,0
1998,5,0
1998,6,0
1998,7,0
1998,8,0
1998,9,0
1998,10,0
1998,11,0
1998,12,0
1999,1,0
1999,2,0
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0
1999,10,0
1999,11,0
1999,12,0
2000,1,0
2000,2,0
2000,3,0
2000,4,0
2000,5,0
2000,6,0
2000,7,0
2000,8,0
2000,9,0
2000,10,0
2000,11,0
2000,12,0
2001,1,0
2001,2,0
2001,3,0
2001,4,0
2001,5,0
2001,6,0
2001,7,0
2001,8,0
2001,9,0
2001,10,0
2001,11,0
2001,12,0
2002,1,0
2002,2,0
2002,3,0
2002,4,0
2002,5,0
2002,6,0
2002,7,0
2002,8,0
2002,9,0
2002,10,0
2002,11,0
2002,12,0
2003,1,0
2003,2,0
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0.143061518669128
2003,8,0.213593631982803
2003,9,0.219869032502174
2003,10,0.215904831886292
2003,11,0.223890259861946
2003,12,0.0722311437129974
2004,1,0.256440311670303
2004,2,0.157397449016571
2004,3,0.256583362817764
2004,4,0.115157477557659
2004,5,0.626048743724823
2004,6,0.191208034753799
2004,7,0.371149897575378
2004,8,1.15578615665436
2004,9,1.16185796260834
2004,10,1.16393637657166
2004,11,1.16691899299622
2004,12,1.17373967170715
2005,1,1.17560243606567
2005,2,1.17928063869476
2005,3,1.18274199962616
2005,4,1.18114113807678
2005,5,1.18630874156952
2005,6,1.18615221977234
2005,7,1.1842337846756
2005,8,1.18742859363556
2005,9,1.18758738040924
2005,10,1.19168972969055
2005,11,1.18870711326599
2005,12,1.19179749488831
2006,1,1.18748295307159
2006,2,1.18492698669434
2006,3,1.18375384807587
2006,4,1.18514025211334
2006,5,1.18167662620544
2006,6,1.18657541275024
2006,7,1.18641424179077
2006,8,1.18827939033508
2006,9,1.19041001796722
2006,10,1.19158184528351
2006,11,1.19051671028137
2006,12,1.18849384784698
2007,1,1.18945360183716
2007,2,1.19110429286957
2007,3,1.18828058242798
2007,4,1.19126439094543
2007,5,1.19152975082397
2007,6,1.19243395328522
2007,7,1.19611084461212
2007,8,1.21097636222839
2007,9,1.22365319728851
2007,10,1.2399525642395
2007,11,1.28352892398834
2007,12,1.2867294549942
2008,1,1.30020618438721
2008,2,1.30526721477509
2008,3,1.30856966972351
2008,4,1.36239099502563
2008,5,1.36638367176056
2008,6,1.52705276012421
2008,7,1.47895514965057
2008,8,1.44827556610107
2008,9,1.46124792098999
2008,10,1.44990622997284
2008,11,1.76126313209534
2008,12,1.94977045059204
2009,1,1.60362839698792
2009,2,1.74821615219116
2009,3,1.74567234516144
2009,4,2.22740054130554
2009,5,2.94669699668884
2009,6,3.00394487380981
2009,7,2.9794602394104
2009,8,2.98708486557007
2009,9,2.98996376991272
2009,10,2.99460005760193
2009,11,2.98309659957886
2009,12,3.00363373756409
2010,1,2.98747038841248
2010,2,2.99567484855652
2010,3,2.95896697044373
2010,4,2.27511501312256
2010,5,1.84912705421448
2010,6,0.677083253860474
2010,7,0.215815097093582
2010,8,0.0447397530078888
2010,9,0.0456044599413872
2010,10,0
2010,11,0.0913027226924896
2010,12,0.0441660210490227
2011,1,0.0956601202487946
2011,2,0.339405685663223
2011,3,0.365285307168961
2011,4,0.66046279668808
2011,5,0.716719448566437
2011,6,0.228430107235909
2011,7,0.389773696660995
2011,8,0.176372706890106
2011,9,0.432540416717529
2011,10,0.549924671649933
2011,11,1.79574620723724
2011,12,1.93120467662811
2012,1,1.4977924823761
2012,2,0.330711305141449
2012,3,0.494948893785477
2012,4,0.262086749076843
2012,5,0.252577900886536
2012,6,0.26220428943634
2012,7,0.381756722927094
2012,8,0.316951006650925
2012,9,0.197207078337669
2012,10,0.319630593061447
2012,11,0.0652791261672974
2012,12,0.647201657295227
2013,1,2.03215861320496
2013,2,1.01946294307709
2013,3,0.130782097578049
2013,4,0.815218210220337
2013,5,0.464099138975143
2013,6,0.406933426856995
2013,7,0.389065891504288
2013,8,0.257419615983963
2013,9,0.264937192201614
2013,10,0.194798976182938
2013,11,0.26470211148262
2013,12,0.388101190328598
2014,1,0.585989415645599
2014,2,0.429972320795059
2014,3,0.194329962134361
2014,4,0.609269440174103
2014,5,0.456422746181488
2014,6,1.23340320587158
2014,7,2.0675835609436
2014,8,2.0691831111908
2014,9,2.06971645355225
2014,10,2.50374460220337
2014,11,4.53897333145142
2014,12,4.93444871902466
2015,1,4.88797283172607
2015,2,4.81787490844727
2015,3,4.77441263198853
2015,4,4.8916187286377
2015,5,3.56650519371033
2015,6,2.58856177330017
2015,7,2.17182850837708
2015,8,2.07216453552246
2015,9,2.06827425956726
2015,10,2.0732798576355
2015,11,2.0704071521759
2015,12,2.06684398651123
2016,1,2.06923174858093
2016,2,2.07440638542175
2016,3,2.06077218055725
2016,4,2.05117392539978
2016,5,2.05341577529907
2016,6,2.06577730178833
2016,7,2.06411743164062
2016,8,2.07558178901672
2016,9,2.08228421211243
2016,10,2.09646344184875
2016,11,2.1052987575531
2016,12,2.10684990882874
2017,1,2.09613656997681
2017,2,2.08090257644653
2017,3,2.0634868144989
2017,4,1.99412786960602
2017,5,1.95432817935944
2017,6,1.91474652290344
2017,7,1.8674932718277
2017,8,1.8718193769455
2017,9,1.90122103691101
2017,10,1.91821241378784
2017,11,1.92497527599335
2017,12,1.93104708194733
2018,1,1.95049822330475
2018,2,1.94974708557129
2018,3,1.97047102451324
2018,4,1.96908938884735
2018,5,1.96237528324127
2018,6,2.71622633934021
2018,7,4.13897228240967
2018,8,2.73047733306885
2018,9,1.96993792057037
2018,10,1.99044382572174
2018,11,1.98506295681
2018,12,1.98709845542908
2019,1,1.99519431591034
2019,2,1.99715805053711
2019,3,2.00418734550476
2019,4,1.99769115447998
2019,5,2.00211477279663
2019,6,2.00429630279541
2019,7,2.00925302505493
2019,8,2.02486276626587
2019,9,2.01516723632812
2019,10,2.01905751228333
2019,11,2.01990580558777
2019,12,2.02710461616516
2020,1,2.03098320960999
2020,2,2.03978133201599
2020,3,2.06108736991882
2020,4,2.07381296157837
2020,5,2.06860113143921
2020,6,2.07637023925781
2020,7,2.07365536689758
2020,8,2.07504868507385
2020,9,2.07787251472473
2020,10,2.07845425605774
2020,11,2.0820779800415
2020,12,NaN
