Year,Month,Conc
1986,1,NaN
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0.0276844799518585
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0.0275287162512541
1996,2,0
1996,3,0
1996,4,0.0292931888252497
1996,5,0.055329617112875
1996,6,0
1996,7,0
1996,8,0.154319107532501
1996,9,0
1996,10,0.0552029870450497
1996,11,0.168854147195816
1996,12,0.166082561016083
1997,1,0.316263020038605
1997,2,0.0607372969388962
1997,3,0.0815195813775063
1997,4,0
1997,5,0.22391302883625
1997,6,0.0731361135840416
1997,7,0.134189456701279
1997,8,0.0703065320849419
1997,9,0.071828804910183
1997,10,0
1997,11,0.140138775110245
1997,12,0.300108969211578
1998,1,0.162054255604744
1998,2,0.0869314521551132
1998,3,0.260808020830154
1998,4,0.9782994389534
1998,5,0.127989053726196
1998,6,0.0973342657089233
1998,7,0
1998,8,0.0262173861265182
1998,9,0
1998,10,0
1998,11,0
1998,12,0
1999,1,0.0821484923362732
1999,2,0.0455012321472168
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0
1999,10,0
1999,11,0
1999,12,0
2000,1,0
2000,2,0
2000,3,0
2000,4,0
2000,5,0
2000,6,0
2000,7,0
2000,8,0
2000,9,0
2000,10,0
2000,11,0
2000,12,0
2001,1,0
2001,2,0
2001,3,0
2001,4,0
2001,5,0
2001,6,0
2001,7,0
2001,8,0
2001,9,0
2001,10,0
2001,11,0
2001,12,0
2002,1,0
2002,2,0
2002,3,0
2002,4,0
2002,5,0
2002,6,0
2002,7,0
2002,8,0
2002,9,0
2002,10,0
2002,11,0
2002,12,0
2003,1,0
2003,2,0
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0.0708799958229065
2003,8,0.0982714891433716
2003,9,0.0386762246489525
2003,10,0.0868790149688721
2003,11,0.104348637163639
2003,12,0.108242198824883
2004,1,0.107278004288673
2004,2,0.106615900993347
2004,3,0.106550663709641
2004,4,0.106043294072151
2004,5,0.0919258743524551
2004,6,0.102299340069294
2004,7,0.103705190122128
2004,8,0.10709435492754
2004,9,0.0987482890486717
2004,10,0.101440571248531
2004,11,0.0970026180148125
2004,12,0.10084330290556
2005,1,0.105499170720577
2005,2,0.0984484776854515
2005,3,0.101124420762062
2005,4,0.108309969305992
2005,5,0.107330441474915
2005,6,0.104274697601795
2005,7,0.109082296490669
2005,8,0.111823819577694
2005,9,0.113258250057697
2005,10,0.113174669444561
2005,11,0.113446019589901
2005,12,0.113286063075066
2006,1,0.113702088594437
2006,2,0.114250391721725
2006,3,0.114272929728031
2006,4,0.114034481346607
2006,5,0.114162117242813
2006,6,0.114027589559555
2006,7,0.114411525428295
2006,8,0.114607371389866
2006,9,0.114577524363995
2006,10,0.114690370857716
2006,11,0.114397257566452
2006,12,0.114504359662533
2007,1,0.114518567919731
2007,2,0.114953301846981
2007,3,0.115351401269436
2007,4,0.115567974746227
2007,5,0.115768812596798
2007,6,0.117417119443417
2007,7,0.117535941302776
2007,8,0.117548853158951
2007,9,0.117629893124104
2007,10,0.118204697966576
2007,11,0.119934387505054
2007,12,0.121064759790897
2008,1,0.121284559369087
2008,2,0.122011661529541
2008,3,0.121993467211723
2008,4,0.121895477175713
2008,5,0.121807642281055
2008,6,0.122196771204472
2008,7,0.122116610407829
2008,8,0.122020572423935
2008,9,0.121902212500572
2008,10,0.121859572827816
2008,11,0.12170697003603
2008,12,0.121976904571056
2009,1,0.121836416423321
2009,2,0.122256927192211
2009,3,0.122836098074913
2009,4,0.122913040220737
2009,5,0.122804321348667
2009,6,0.122868798673153
2009,7,0.122857101261616
2009,8,0.122945517301559
2009,9,0.122964151203632
2009,10,0.123207472264767
2009,11,0.123332604765892
2009,12,0.12340023368597
2010,1,0.123277306556702
2010,2,0.123523853719234
2010,3,0.123475410044193
2010,4,0.123451896011829
2010,5,0.123774610459805
2010,6,0.123815774917603
2010,7,0.123795941472054
2010,8,0.123746298253536
2010,9,0.123820021748543
2010,10,0.123829059302807
2010,11,0.124015122652054
2010,12,0.123837880790234
2011,1,0.124028481543064
2011,2,0.124591417610645
2011,3,0.124648109078407
2011,4,0.124608129262924
2011,5,0.144876301288605
2011,6,0.388713538646698
2011,7,0.517166674137115
2011,8,0.610095977783203
2011,9,0.534157812595367
2011,10,0.593839824199677
2011,11,0.484455555677414
2011,12,0.542901337146759
2012,1,0.540289521217346
2012,2,0.556680262088776
2012,3,0.533431112766266
2012,4,0.60970264673233
2012,5,0.619234383106232
2012,6,0.599910140037537
2012,7,0.644249618053436
2012,8,0.686512649059296
2012,9,0.686540722846985
2012,10,0.654058575630188
2012,11,0.687087953090668
2012,12,0.725666284561157
2013,1,0.96776682138443
2013,2,1.24173629283905
2013,3,1.63689994812012
2013,4,1.58979618549347
2013,5,1.81758260726929
2013,6,1.87754905223846
2013,7,1.83687388896942
2013,8,1.89849615097046
2013,9,1.89060235023499
2013,10,1.88362681865692
2013,11,1.88921701908112
2013,12,1.79349792003632
2014,1,1.79623889923096
2014,2,1.73274290561676
2014,3,1.7925021648407
2014,4,2.04047298431396
2014,5,2.00995135307312
2014,6,1.76035332679749
2014,7,1.8072783946991
2014,8,1.76469278335571
2014,9,1.56181824207306
2014,10,1.61771321296692
2014,11,1.50963604450226
2014,12,1.50402963161469
2015,1,1.49059474468231
2015,2,1.31189346313477
2015,3,1.21544444561005
2015,4,1.21635818481445
2015,5,1.22567784786224
2015,6,1.23492538928986
2015,7,1.22383487224579
2015,8,1.24515092372894
2015,9,1.13960421085358
2015,10,1.1623547077179
2015,11,1.03663182258606
2015,12,0.76519113779068
2016,1,0.723321914672852
2016,2,0.742192447185516
2016,3,0.776455223560333
2016,4,0.811796844005585
2016,5,0.939160466194153
2016,6,0.976966857910156
2016,7,0.819265007972717
2016,8,0.937939822673798
2016,9,1.09833610057831
2016,10,1.08524477481842
2016,11,1.05622458457947
2016,12,0.978677034378052
2017,1,1.57438766956329
2017,2,1.66767346858978
2017,3,1.73060250282288
2017,4,1.80207014083862
2017,5,1.92744040489197
2017,6,1.92146468162537
2017,7,1.89076519012451
2017,8,1.98974168300629
2017,9,1.96600520610809
2017,10,1.98433887958527
2017,11,1.96874570846558
2017,12,1.91776323318481
2018,1,1.95781123638153
2018,2,1.76624059677124
2018,3,1.9225549697876
2018,4,1.92695999145508
2018,5,1.9167093038559
2018,6,1.92993819713593
2018,7,1.92034757137299
2018,8,1.86960756778717
2018,9,1.8809951543808
2018,10,1.96852946281433
2018,11,1.8908988237381
2018,12,1.83789658546448
2019,1,1.95244300365448
2019,2,1.88979303836823
2019,3,1.87446188926697
2019,4,1.73775482177734
2019,5,1.8417956829071
2019,6,1.84383487701416
2019,7,1.85559332370758
2019,8,1.97279155254364
2019,9,1.90406477451324
2019,10,1.93941402435303
2019,11,1.86348831653595
2019,12,1.88491129875183
2020,1,1.94230282306671
2020,2,1.97040033340454
2020,3,2.15829181671143
2020,4,2.24159455299377
2020,5,2.25037527084351
2020,6,2.25447368621826
2020,7,2.27290344238281
2020,8,2.27251076698303
2020,9,2.27472567558289
2020,10,2.26772022247314
2020,11,2.27617859840393
2020,12,NaN
