Year,Month,Conc
1986,1,NaN
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,0
1996,11,0
1996,12,0
1997,1,0
1997,2,0
1997,3,0
1997,4,0
1997,5,0
1997,6,0
1997,7,0
1997,8,0.000232258375035599
1997,9,0.000852727796882391
1997,10,0.000890772906132042
1997,11,0.000793199229519814
1997,12,0.000737622438464314
1998,1,0.000847087474539876
1998,2,0.000870151619892567
1998,3,0.000936470169108361
1998,4,0.000769488397054374
1998,5,0.00100426154676825
1998,6,0.000901478691957891
1998,7,0.00120206736028194
1998,8,0.00109066243749112
1998,9,0.00129001296591014
1998,10,0.00120160030201077
1998,11,0.000792516628280282
1998,12,0
1999,1,0
1999,2,0
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0
1999,10,0
1999,11,0
1999,12,0
2000,1,0
2000,2,0
2000,3,0
2000,4,0
2000,5,0
2000,6,0
2000,7,0
2000,8,0
2000,9,0
2000,10,0
2000,11,0
2000,12,0
2001,1,0
2001,2,0
2001,3,0
2001,4,0
2001,5,0
2001,6,0
2001,7,0
2001,8,0
2001,9,0
2001,10,0
2001,11,0
2001,12,0
2002,1,0
2002,2,0
2002,3,0
2002,4,0
2002,5,0
2002,6,0
2002,7,0
2002,8,0
2002,9,0
2002,10,0
2002,11,0
2002,12,0
2003,1,0
2003,2,0
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0.0859346613287926
2003,8,0.112396322190762
2003,9,0.112833000719547
2003,10,0.111540481448174
2003,11,0.110663540661335
2003,12,0.109987750649452
2004,1,0.110277377068996
2004,2,0.110818900167942
2004,3,0.110848315060139
2004,4,0.110470451414585
2004,5,0.110983692109585
2004,6,0.110364489257336
2004,7,0.110689356923103
2004,8,0.111171901226044
2004,9,0.112671494483948
2004,10,0.113567136228085
2004,11,0.119949974119663
2004,12,0.122136332094669
2005,1,0.122307859361172
2005,2,0.122745655477047
2005,3,0.123330071568489
2005,4,0.12370926886797
2005,5,0.124755702912807
2005,6,0.125026255846024
2005,7,0.125779956579208
2005,8,0.127009615302086
2005,9,0.127857387065887
2005,10,0.12848287820816
2005,11,0.130476340651512
2005,12,0.13191793859005
2006,1,0.135546997189522
2006,2,0.137865319848061
2006,3,0.138164162635803
2006,4,0.137715131044388
2006,5,0.139347329735756
2006,6,0.143723055720329
2006,7,0.145250171422958
2006,8,0.145065382122993
2006,9,0.145909339189529
2006,10,0.146588250994682
2006,11,0.147237509489059
2006,12,0.146679818630219
2007,1,0.148278117179871
2007,2,0.148288443684578
2007,3,0.143905058503151
2007,4,0.14605475962162
2007,5,0.145459115505219
2007,6,0.146320804953575
2007,7,0.146087095141411
2007,8,0.146201834082603
2007,9,0.147315636277199
2007,10,0.146922037005424
2007,11,0.148968890309334
2007,12,0.150786533951759
2008,1,0.150177881121635
2008,2,0.149962350726128
2008,3,0.149821132421494
2008,4,0.150695845484734
2008,5,0.151232436299324
2008,6,0.151256442070007
2008,7,0.151720285415649
2008,8,0.151466354727745
2008,9,0.151686817407608
2008,10,0.151984974741936
2008,11,0.153064429759979
2008,12,0.153482243418694
2009,1,0.153852239251137
2009,2,0.154622763395309
2009,3,0.154611751437187
2009,4,0.155806377530098
2009,5,0.156955450773239
2009,6,0.157756954431534
2009,7,0.138673454523087
2009,8,0.116624124348164
2009,9,0.117314502596855
2009,10,0.117665179073811
2009,11,0.117893502116203
2009,12,0.117860056459904
2010,1,0.117868356406689
2010,2,0.117642052471638
2010,3,0.117679767310619
2010,4,0.118202432990074
2010,5,0.118148326873779
2010,6,0.117573790252209
2010,7,0.116938412189484
2010,8,0.117733418941498
2010,9,0.119157500565052
2010,10,0.12351281940937
2010,11,0.133090317249298
2010,12,0.13566929101944
2011,1,0.138837397098541
2011,2,0.147289618849754
2011,3,0.149646773934364
2011,4,0.15064924955368
2011,5,0.152398884296417
2011,6,0.152944430708885
2011,7,0.15414009988308
2011,8,0.161985203623772
2011,9,0.158590123057365
2011,10,0.157943740487099
2011,11,0.159064278006554
2011,12,0.160527661442757
2012,1,0.161510348320007
2012,2,0.161824434995651
2012,3,0.162407502532005
2012,4,0.162609562277794
2012,5,0.163338556885719
2012,6,0.163394913077354
2012,7,0.16353702545166
2012,8,0.0844023823738098
2012,9,0.0616775006055832
2012,10,0.162855193018913
2012,11,0.163561508059502
2012,12,0.139957875013351
2013,1,0.1381965726614
2013,2,0.0456187166273594
2013,3,0.0377738401293755
2013,4,0.0711642578244209
2013,5,0.0616097040474415
2013,6,0.135719761252403
2013,7,0.139746829867363
2013,8,0.1248659491539
2013,9,0.164506003260612
2013,10,0.164507791399956
2013,11,0.16426420211792
2013,12,0.120994195342064
2014,1,0.0607205592095852
2014,2,0.0621751695871353
2014,3,0.0749393403530121
2014,4,0.0718239992856979
2014,5,0.0790808945894241
2014,6,0.0750569701194763
2014,7,0.0828479900956154
2014,8,0.0962421596050262
2014,9,0.154725730419159
2014,10,0.138039544224739
2014,11,0.0717126354575157
2014,12,0.0718046799302101
2015,1,0.0716318041086197
2015,2,0.0668993145227432
2015,3,0.070687510073185
2015,4,0.0814542025327682
2015,5,0.0602330788969994
2015,6,0.0578629039227962
2015,7,0.0661005079746246
2015,8,0.0658508464694023
2015,9,0.111308686435223
2015,10,0.147902354598045
2015,11,0.100064612925053
2015,12,0.119005188345909
2016,1,0.139411017298698
2016,2,0.104284942150116
2016,3,0.0914163738489151
2016,4,0.0601165853440762
2016,5,0.0167489573359489
2016,6,0.0177695415914059
2016,7,0.0165483430027962
2016,8,0.0118052670732141
2016,9,0.0190767254680395
2016,10,0.0121215479448438
2016,11,0.0103346891701221
2016,12,0.0133370934054255
2017,1,0.00568009726703167
2017,2,0
2017,3,0.0035373168066144
2017,4,0.00728056486696005
2017,5,0
2017,6,0.00183019484393299
2017,7,0.00175750465132296
2017,8,0
2017,9,0
2017,10,0
2017,11,0
2017,12,0
2018,1,0
2018,2,0.00502454116940498
2018,3,0.0112888710573316
2018,4,0.0116470484063029
2018,5,0.011274142190814
2018,6,0.0116420192644
2018,7,0.0116287264972925
2018,8,0.0116545930504799
2018,9,0.0116208223626018
2018,10,0.0115540008991957
2018,11,0.0116168707609177
2018,12,0.0115769943222404
2019,1,0.0115087358281016
2019,2,0.0115234646946192
2019,3,0.0114947240799665
2019,4,0.0115069393068552
2019,5,0.0114638283848763
2019,6,0.0114368842914701
2019,7,0.0114627508446574
2019,8,0.011398084461689
2019,9,0.0114142512902617
2019,10,0.0114289801567793
2019,11,0.0113944923505187
2019,12,0.0113995214924216
2020,1,0.0113833555951715
2020,2,0.0113865891471505
2020,3,0.0114138917997479
2020,4,0.0114217959344387
2020,5,0.0114085031673312
2020,6,0.0113765290006995
2020,7,0.0113894622772932
2020,8,0.0113811995834112
2020,9,0.0113880252465606
2020,10,0.0113901812583208
2020,11,0.0114174848422408
2020,12,NaN
