,Year,Month,Conc
0,1986,2,3.16225433349609
1,1986,3,3.1350257396698
2,1986,4,3.14096307754517
3,1986,5,3.13328671455383
4,1986,6,3.12651062011719
5,1986,7,3.11554884910583
6,1986,8,3.11847257614136
7,1986,9,3.14758825302124
8,1986,10,3.09984278678894
9,1986,11,3.11044716835022
10,1986,12,3.09589576721191
11,1987,1,3.1070351600647
12,1987,2,3.08351373672485
13,1987,3,3.10997533798218
14,1987,4,3.10622072219849
15,1987,5,3.10600781440735
16,1987,6,3.11126089096069
17,1987,7,3.10948896408081
18,1987,8,3.13340616226196
19,1987,9,3.1123628616333
20,1987,10,3.09981775283813
21,1987,11,3.10576581954956
22,1987,12,3.14546656608582
23,1988,1,3.08418750762939
24,1988,2,3.09184789657593
25,1988,3,3.08630704879761
26,1988,4,3.0824556350708
27,1988,5,3.04835963249207
28,1988,6,3.07515621185303
29,1988,7,3.10966324806213
30,1988,8,3.10053372383118
31,1988,9,3.08492827415466
32,1988,10,3.0929536819458
33,1988,11,3.09375858306885
34,1988,12,3.09180521965027
35,1989,1,3.10226058959961
36,1989,2,3.07322788238525
37,1989,3,3.1189911365509
38,1989,4,3.12027263641357
39,1989,5,3.11609101295471
40,1989,6,3.14084529876709
41,1989,7,3.12420892715454
42,1989,8,3.12064385414124
43,1989,9,3.1302502155304
44,1989,10,3.11423635482788
45,1989,11,3.13193345069885
46,1989,12,3.1076717376709
47,1990,1,3.11890554428101
48,1990,2,3.15919899940491
49,1990,3,3.13750648498535
50,1990,4,3.15741968154907
51,1990,5,3.19529414176941
52,1990,6,3.25627756118774
53,1990,7,3.23090887069702
54,1990,8,3.26115131378174
55,1990,9,3.23641777038574
56,1990,10,3.23864006996155
57,1990,11,3.22562098503113
58,1990,12,3.25569033622742
59,1991,1,3.21204876899719
60,1991,2,3.21271681785583
61,1991,3,3.24154472351074
62,1991,4,3.25046277046204
63,1991,5,3.22414708137512
64,1991,6,3.19361662864685
65,1991,7,3.1846296787262
66,1991,8,3.20664858818054
67,1991,9,3.20556998252869
68,1991,10,3.22784018516541
69,1991,11,3.19810128211975
70,1991,12,3.20930123329163
71,1992,1,3.19232296943665
72,1992,2,3.18621611595154
73,1992,3,3.22294664382935
74,1992,4,3.22237014770508
75,1992,5,3.20463705062866
76,1992,6,3.19466733932495
77,1992,7,3.22512006759644
78,1992,8,3.21055483818054
79,1992,9,3.2093243598938
80,1992,10,3.19843721389771
81,1992,11,3.23348093032837
82,1992,12,3.19952082633972
83,1993,1,3.19547963142395
84,1993,2,3.18189358711243
85,1993,3,3.18560814857483
86,1993,4,3.20238590240479
87,1993,5,3.16279196739197
88,1993,6,3.20084142684937
89,1993,7,3.18806505203247
90,1993,8,3.17123746871948
91,1993,9,3.17829370498657
92,1993,10,3.17087006568909
93,1993,11,3.16931080818176
94,1993,12,3.15846180915833
95,1994,1,3.2211480140686
96,1994,2,3.20615768432617
97,1994,3,3.21153044700623
98,1994,4,3.2378191947937
99,1994,5,3.18918943405151
100,1994,6,3.19985866546631
101,1994,7,3.19275116920471
102,1994,8,3.17430925369263
103,1994,9,3.1533522605896
104,1994,10,3.15554666519165
105,1994,11,3.17551302909851
106,1994,12,3.17516446113586
107,1995,1,3.17028498649597
108,1995,2,3.1454484462738
109,1995,3,3.14704775810242
110,1995,4,3.18438577651978
111,1995,5,3.17652487754822
112,1995,6,3.14956092834473
113,1995,7,3.15770673751831
114,1995,8,3.16635084152222
115,1995,9,3.12971043586731
116,1995,10,3.15859484672546
117,1995,11,3.27216958999634
118,1995,12,3.27616286277771
119,1996,1,3.30344319343567
120,1996,2,3.3113214969635
121,1996,3,3.29296779632568
122,1996,4,3.37999582290649
123,1996,5,3.39914536476135
124,1996,6,3.42497158050537
125,1996,7,3.39687156677246
126,1996,8,3.4064040184021
127,1996,9,3.44203352928162
128,1996,10,3.40998005867004
129,1996,11,3.42578482627869
130,1996,12,3.43647599220276
131,1997,1,3.43818354606628
132,1997,2,3.43095541000366
133,1997,3,3.42331957817078
134,1997,4,3.39410066604614
135,1997,5,3.47772431373596
136,1997,6,3.48840498924255
137,1997,7,3.49881362915039
138,1997,8,3.48677086830139
139,1997,9,3.50613737106323
140,1997,10,3.52478837966919
141,1997,11,3.55903148651123
142,1997,12,3.59173464775085
143,1998,1,3.56620907783508
144,1998,2,3.52307605743408
145,1998,3,3.477698802948
146,1998,4,3.46552205085754
147,1998,5,3.45636677742004
148,1998,6,3.46192693710327
149,1998,7,3.39142179489136
150,1998,8,3.44708514213562
151,1998,9,3.46647715568542
152,1998,10,3.62269282341003
153,1998,11,3.88937973976135
154,1998,12,3.96870970726013
155,1999,1,4.14523410797119
156,1999,2,4.17536592483521
157,1999,3,4.6246771812439
158,1999,4,7.13640022277832
159,1999,5,9.04027843475342
160,1999,6,9.15761184692383
161,1999,7,9.27963161468506
162,1999,8,9.48068141937256
163,1999,9,9.47954273223877
164,1999,10,9.61179542541504
165,1999,11,9.6437292098999
166,1999,12,9.64799118041992
167,2000,1,9.53639984130859
168,2000,2,9.38966655731201
169,2000,3,9.33521366119385
170,2000,4,9.19728374481201
171,2000,5,8.98383808135986
172,2000,6,8.06714153289795
173,2000,7,6.72482347488403
174,2000,8,6.111900806427
175,2000,9,4.86031246185303
176,2000,10,4.52345037460327
177,2000,11,4.12927770614624
178,2000,12,3.95632982254028
179,2001,1,3.73153305053711
180,2001,2,3.6159245967865
181,2001,3,3.39343881607056
182,2001,4,3.18958044052124
183,2001,5,3.16861891746521
184,2001,6,3.12915730476379
185,2001,7,3.09579205513
186,2001,8,3.16179943084717
187,2001,9,3.17424130439758
188,2001,10,3.35957813262939
189,2001,11,3.26981043815613
190,2001,12,3.28179383277893
191,2002,1,3.31525897979736
192,2002,2,3.36895871162415
193,2002,3,3.47974324226379
194,2002,4,3.50313210487366
195,2002,5,3.67964720726013
196,2002,6,3.67205691337585
197,2002,7,3.72596311569214
198,2002,8,3.71944952011108
199,2002,9,3.74895858764648
200,2002,10,3.81233882904053
201,2002,11,3.93415331840515
202,2002,12,4.0412769317627
203,2003,1,4.07325029373169
204,2003,2,4.12428998947144
205,2003,3,4.16279792785645
206,2003,4,4.18143177032471
207,2003,5,4.25739336013794
208,2003,6,4.25292778015137
209,2003,7,4.37996530532837
210,2003,8,4.4038987159729
211,2003,9,4.41219234466553
212,2003,10,4.47504043579102
213,2003,11,4.54174995422363
214,2003,12,4.51205825805664
215,2004,1,4.55101299285889
216,2004,2,4.50084638595581
217,2004,3,4.52547645568848
218,2004,4,4.51658391952515
219,2004,5,4.59667873382568
220,2004,6,4.51235008239746
221,2004,7,4.52387762069702
222,2004,8,4.52285480499268
223,2004,9,4.51571130752563
224,2004,10,4.51624202728271
225,2004,11,4.50648021697998
226,2004,12,4.51331567764282
227,2005,1,4.41010713577271
228,2005,2,4.39353704452515
229,2005,3,4.38134479522705
230,2005,4,4.36180210113525
231,2005,5,4.35131120681763
232,2005,6,4.35453796386719
233,2005,7,4.3923282623291
234,2005,8,4.34165573120117
235,2005,9,4.3439998626709
236,2005,10,4.32519769668579
237,2005,11,4.40451097488403
238,2005,12,4.39534521102905
239,2006,1,4.40107870101929
240,2006,2,4.39761209487915
241,2006,3,4.43905401229858
242,2006,4,4.44911479949951
243,2006,5,4.46733808517456
244,2006,6,4.45737409591675
245,2006,7,4.47295713424683
246,2006,8,4.52189970016479
247,2006,9,4.58256053924561
248,2006,10,4.65531015396118
249,2006,11,4.68159294128418
250,2006,12,4.75425338745117
251,2007,1,4.78351068496704
252,2007,2,4.77805423736572
253,2007,3,4.82312726974487
254,2007,4,4.82551383972168
255,2007,5,4.79937314987183
256,2007,6,4.81279182434082
257,2007,7,4.81387090682983
258,2007,8,4.83307838439941
259,2007,9,4.81030035018921
260,2007,10,4.82758569717407
261,2007,11,4.83270502090454
262,2007,12,4.85521268844604
263,2008,1,4.85790252685547
264,2008,2,4.86047840118408
265,2008,3,4.85396146774292
266,2008,4,4.82251834869385
267,2008,5,4.83397436141968
268,2008,6,4.81215286254883
269,2008,7,4.78455543518066
270,2008,8,4.69038724899292
271,2008,9,4.60631990432739
272,2008,10,4.58988571166992
273,2008,11,4.56987762451172
274,2008,12,4.5662522315979
275,2009,1,4.5234694480896
276,2009,2,4.52819919586182
277,2009,3,4.51842784881592
278,2009,4,4.52305555343628
279,2009,5,4.50082111358643
