,Year,Month,Conc
0,1986,2,1.08933222293854
1,1986,3,1.08504056930542
2,1986,4,1.08531737327576
3,1986,5,1.08476364612579
4,1986,6,1.08490216732025
5,1986,7,1.08538663387299
6,1986,8,1.08524823188782
7,1986,9,1.08767092227936
8,1986,10,1.0841406583786
9,1986,11,1.08497130870819
10,1986,12,1.08351767063141
11,1987,1,1.08407139778137
12,1987,2,1.08241009712219
13,1987,3,1.08462512493134
14,1987,4,1.08427906036377
15,1987,5,1.08310234546661
16,1987,6,1.08379447460175
17,1987,7,1.08400225639343
18,1987,8,1.08580195903778
19,1987,9,1.08379447460175
20,1987,10,1.08337926864624
21,1987,11,1.08427906036377
22,1987,12,1.08843231201172
23,1988,1,1.08504056930542
24,1988,2,1.08877849578857
25,1988,3,1.08746325969696
26,1988,4,1.09307014942169
27,1988,5,1.09604668617249
28,1988,6,1.09625434875488
29,1988,7,1.09791564941406
30,1988,8,1.10144591331482
31,1988,9,1.09784638881683
32,1988,10,1.09750032424927
33,1988,11,1.09846949577332
34,1988,12,1.10047686100006
35,1989,1,1.10123825073242
36,1989,2,1.10019993782043
37,1989,3,1.10165357589722
38,1989,4,1.10712206363678
39,1989,5,1.10788345336914
40,1989,6,1.11009860038757
41,1989,7,1.10850644111633
42,1989,8,1.1080219745636
43,1989,9,1.11002933979034
44,1989,10,1.11155223846436
45,1989,11,1.11432099342346
46,1989,12,1.11902809143066
47,1990,1,1.12359666824341
48,1990,2,1.13868689537048
49,1990,3,1.14194023609161
50,1990,4,1.14560890197754
51,1990,5,1.14844703674316
52,1990,6,1.18554961681366
53,1990,7,1.20956933498383
54,1990,8,1.22798204421997
55,1990,9,1.2335889339447
56,1990,10,1.25006365776062
57,1990,11,1.26100051403046
58,1990,12,1.27574467658997
59,1991,1,1.28100550174713
60,1991,2,1.28190529346466
61,1991,3,1.2947803735733
62,1991,4,1.31637740135193
63,1991,5,1.32080745697021
64,1991,6,1.32011532783508
65,1991,7,1.31492376327515
66,1991,8,1.30094110965729
67,1991,9,1.2915962934494
68,1991,10,1.29235768318176
69,1991,11,1.2900732755661
70,1991,12,1.28986573219299
71,1992,1,1.2896580696106
72,1992,2,1.28979647159576
73,1992,3,1.2915962934494
74,1992,4,1.2947803735733
75,1992,5,1.29588794708252
76,1992,6,1.29298079013824
77,1992,7,1.29678773880005
78,1992,8,1.3032945394516
79,1992,9,1.31146264076233
80,1992,10,1.31810796260834
81,1992,11,1.31762337684631
82,1992,12,1.33022153377533
83,1993,1,1.33908188343048
84,1993,2,1.3423353433609
85,1993,3,1.35611033439636
86,1993,4,1.36635506153107
87,1993,5,1.37092363834381
88,1993,6,1.38871347904205
89,1993,7,1.39466655254364
90,1993,8,1.40408051013947
91,1993,9,1.40186548233032
92,1993,10,1.40477275848389
93,1993,11,1.40124249458313
94,1993,12,1.40428817272186
95,1994,1,1.40615713596344
96,1994,2,1.40588021278381
97,1994,3,1.40525734424591
98,1994,4,1.40463423728943
99,1994,5,1.40262687206268
100,1994,6,1.40338826179504
101,1994,7,1.40408051013947
102,1994,8,1.40366518497467
103,1994,9,1.40290379524231
104,1994,10,1.40228068828583
105,1994,11,1.38649845123291
106,1994,12,1.38158369064331
107,1995,1,1.38186049461365
108,1995,2,1.38206815719604
109,1995,3,1.3824143409729
110,1995,4,1.39473569393158
111,1995,5,1.4461669921875
112,1995,6,1.45184314250946
113,1995,7,1.45350432395935
114,1995,8,1.45225834846497
115,1995,9,1.48423850536346
116,1995,10,1.53830015659332
117,1995,11,1.54944479465485
118,1995,12,1.57014191150665
119,1996,1,1.57360291481018
120,1996,2,1.57692563533783
121,1996,3,1.58329379558563
122,1996,4,1.78881120681763
123,1996,5,1.85567891597748
124,1996,6,1.85470986366272
125,1996,7,1.84730315208435
126,1996,8,1.84494960308075
127,1996,9,1.86114728450775
128,1996,10,1.91929304599762
129,1996,11,1.92400014400482
130,1996,12,1.90849447250366
131,1997,1,1.90468752384186
132,1997,2,1.90531039237976
133,1997,3,1.90544891357422
134,1997,4,1.90890991687775
135,1997,5,1.91486287117004
136,1997,6,1.90994811058044
137,1997,7,1.9390903711319
138,1997,8,1.60955846309662
139,1997,9,0.0
140,1997,10,0.314797848463058
141,1997,11,0.479650169610977
142,1997,12,0.774670124053955
143,1998,1,3.29406499862671
144,1998,2,2.5733470916748
145,1998,3,4.79605007171631
146,1998,4,4.80192422866821
147,1998,5,4.81096172332764
148,1998,6,4.83310270309448
149,1998,7,4.93657875061035
150,1998,8,5.10376739501953
151,1998,9,5.2727632522583
152,1998,10,9.79317855834961
153,1998,11,11.4078006744385
154,1998,12,11.5846824645996
155,1999,1,11.6195974349976
156,1999,2,14.7055730819702
157,1999,3,14.7277088165283
158,1999,4,18.3368453979492
159,1999,5,27.6937847137451
160,1999,6,27.8111629486084
161,1999,7,27.8080940246582
162,1999,8,27.8086242675781
163,1999,9,27.7924060821533
164,1999,10,28.5421142578125
165,1999,11,28.8668460845947
166,1999,12,28.8529891967773
167,2000,1,28.9242744445801
168,2000,2,28.9926986694336
169,2000,3,28.9751052856445
170,2000,4,29.2940330505371
171,2000,5,29.4477844238281
172,2000,6,29.6207141876221
173,2000,7,29.6895446777344
174,2000,8,29.4367733001709
175,2000,9,29.5867214202881
176,2000,10,29.6368885040283
177,2000,11,30.1008186340332
178,2000,12,30.5311489105225
179,2001,1,30.831169128418
180,2001,2,30.9878063201904
181,2001,3,31.1025123596191
182,2001,4,30.8281917572021
183,2001,5,30.750696182251
184,2001,6,30.7241306304932
185,2001,7,30.9467391967773
186,2001,8,32.1133651733398
