,Year,Month,Conc
0,1986,2,124.728538513184
1,1986,3,126.622138977051
2,1986,4,124.214256286621
3,1986,5,126.441116333008
4,1986,6,124.90754699707
5,1986,7,124.601219177246
6,1986,8,124.28581237793
7,1986,9,121.310539245605
8,1986,10,125.500144958496
9,1986,11,125.698432922363
10,1986,12,125.595443725586
11,1987,1,128.114151000977
12,1987,2,131.998611450195
13,1987,3,130.977005004883
14,1987,4,133.021911621094
15,1987,5,137.318481445312
16,1987,6,135.694549560547
17,1987,7,138.248779296875
18,1987,8,137.830261230469
19,1987,9,141.339111328125
20,1987,10,160.838638305664
21,1987,11,181.798446655273
22,1987,12,175.266906738281
23,1988,1,187.778732299805
24,1988,2,190.321350097656
25,1988,3,191.890441894531
26,1988,4,204.662124633789
27,1988,5,215.891036987305
28,1988,6,216.482269287109
29,1988,7,208.165466308594
30,1988,8,201.674346923828
31,1988,9,210.983917236328
32,1988,10,209.124633789062
33,1988,11,202.245864868164
34,1988,12,231.202880859375
35,1989,1,254.306655883789
36,1989,2,250.234146118164
37,1989,3,250.026931762695
38,1989,4,252.919876098633
39,1989,5,253.323272705078
40,1989,6,245.667953491211
41,1989,7,251.424163818359
42,1989,8,254.544967651367
43,1989,9,250.425109863281
44,1989,10,256.46142578125
45,1989,11,248.790817260742
46,1989,12,255.660461425781
47,1990,1,252.558898925781
48,1990,2,245.308090209961
49,1990,3,252.706039428711
50,1990,4,250.950347900391
51,1990,5,202.947509765625
52,1990,6,197.393402099609
53,1990,7,198.433319091797
54,1990,8,196.764556884766
55,1990,9,197.119049072266
56,1990,10,196.706008911133
57,1990,11,196.089065551758
58,1990,12,194.972412109375
59,1991,1,196.217788696289
60,1991,2,195.914123535156
61,1991,3,194.49462890625
62,1991,4,193.379013061523
63,1991,5,191.154983520508
64,1991,6,192.483978271484
65,1991,7,192.953842163086
66,1991,8,191.163619995117
67,1991,9,192.499282836914
68,1991,10,190.447021484375
69,1991,11,190.191528320312
70,1991,12,189.881454467773
71,1992,1,190.211013793945
72,1992,2,186.985061645508
73,1992,3,184.79508972168
74,1992,4,184.997528076172
75,1992,5,181.645004272461
76,1992,6,179.684646606445
77,1992,7,177.565765380859
78,1992,8,177.480407714844
79,1992,9,173.141754150391
80,1992,10,173.180969238281
81,1992,11,165.478805541992
82,1992,12,161.778762817383
83,1993,1,161.195434570312
84,1993,2,158.19709777832
85,1993,3,154.659698486328
86,1993,4,153.511322021484
87,1993,5,152.775527954102
