,Unnamed: 0,WellName,y_pred_1_date,y_pred_1_value,y_ture_1_date,y_true_1_value,y_pred_2_date,y_pred_2_value,y_ture_2_date,y_true_2_value,y_pred_3_date,y_pred_3_value,y_ture_3_date,y_true_3_value,y_pred_4_date,y_pred_4_value,y_ture_4_date,y_true_4_value,y_pred_5_date,y_pred_5_value,y_ture_5_date,y_true_5_value,rmse
0,0,MW-64@S2020,2015-12-31,30.50935070254612,2016.0,46.89688900716868,2016-12-31,19.87857367925366,2017.0,45.08806034080194,2017-12-31,8.495208380599559,2018.0,44.60761974311589,,,,,,,,,
1,1,415-Evergreen-Dr@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
2,2,MW-21@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
3,3,Second-Sister-Lake@S2020,2015-12-31,0.0063369014683476,2016.0,0.0,2016-12-31,0.0128485951864256,2017.0,0.0,2017-12-31,0.0195202467379524,2018.0,0.0,2018-12-31,0.0263588904681026,2019.0,0.0,2019-12-31,0.0333703460428018,2019-12-01,0.0,0.00047893077058409883
4,4,RL-6@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
5,5,3685-Dexter-Rd@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
6,6,3565-Dexter-Rd@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
7,7,MW-84d@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
8,8,4560-Jackson-Rd@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
9,9,545-Allison@S2020,2015-12-31,14.797608662185448,2016.0,15.06215787557291,2016-12-31,15.290862284258296,2017.0,15.178639752567433,2017-12-31,15.784115906331143,2018.0,15.216866802916355,2018-12-31,16.27736952840399,2019.0,15.17143917711534,2019-12-31,16.77062315047684,2019-12-01,15.1440142699824,0.8546580240505456
10,10,Varsity-Ford@S2020,2015-12-31,2.481370253756172,2016.0,2.430635108398666,2016-12-31,2.484758340149281,2017.0,2.380629116450493,2017-12-31,2.4877854829473627,2018.0,2.3444649172471803,2018-12-31,2.4908126257454444,2019.0,2.360934327802526,2019-12-31,2.493839768543525,2019-12-01,2.40238169224882,0.01183813735025147
11,11,44-LUELLA-ST@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
12,12,371-Parkland-Plaza-#1@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
13,13,4050-W-Liberty-Rd@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
14,14,Eaton-101s@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
15,15,360-W-DELHI-RD@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
16,16,3839-Dexter-Rd@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
17,17,407-Adrienne-Lane@S2020,2015-12-31,0.0,2016.0,0.0,2016-12-31,0.0,2017.0,0.0,2017-12-31,0.0,2018.0,0.0,2018-12-31,0.0,2019.0,0.0,2019-12-31,0.0,2019-12-01,0.0,0.0
