,WellName,y_pred_1_date,y_pred_1_value,y_ture_1_date,y_true_1_value,y_pred_2_date,y_pred_2_value,y_ture_2_date,y_true_2_value,y_pred_3_date,y_pred_3_value,y_ture_3_date,y_true_3_value,y_pred_4_date,y_pred_4_value,y_ture_4_date,y_true_4_value,y_pred_5_date,y_pred_5_value,y_ture_5_date,y_true_5_value
0,MW-112d,2016-12-31,0.5,2017,0.625,2017-12-31,0.5,2018,0.8,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.75,2020-12-31,0.5,2020-11-04,0.5
1,MW-61d,2016-12-31,1.3372380696611188,2017,5.4,2017-12-31,1.4137545874425652,2018,6.5,2018-12-31,1.4902711052240112,2019,6.3,2019-12-31,1.5667876230054572,2020,9.25,2020-12-31,2.3888081062045865,2020-12-14,10.0
2,MW-42s,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-08-07,0.5
3,SW-1M,2006-12-31,0.1822944567310795,2007,0.5,2007-12-31,0.0138243257190356,2008,0.5,2008-12-31,0.006470700676264,2009,0.5,2009-12-31,0.003028716777423,2010,0.5,2010-12-31,0.0014176401871736,2010-08-05,0.5
4,593 Allison,2011-12-31,657.7045211194187,2012,376.5,2012-12-31,726.3948860899094,2013,330.0,2013-12-31,795.7751897310609,2014,200.0,2014-12-31,865.5718154650684,2015,135.0,2015-12-31,935.538620668596,2015-11-23,160.0
5,AMW-1,2016-12-31,330.0,2017,300.0,2017-12-31,330.0,2018,320.0,2018-12-31,330.0,2019,340.0,2019-12-31,330.0,2020,250.0,2020-12-31,330.0,2020-08-21,250.0
6,MW-84s,2017-12-31,186.9200045413164,2018,48.80833333333333,2018-12-31,294.86642312268515,2019,71.47500000000001,2019-12-31,402.81284169763416,2020,225.33333333333334,,,,,,,,
7,MW-82d,2012-12-31,1.3312702455692491,2013,0.5,2013-12-31,1.7079156896559209,2014,2.0,2014-12-31,2.069722372269425,2015,2.0,2015-12-31,2.4051612309219608,2016,0.5,2016-12-31,2.793909066411328,2016-09-12,0.5
8,2950 Valley,2007-12-31,0.5,2007-08-09,0.5,2008-12-31,0.5,2007-08-09,0.5,2009-12-31,0.5,2012-01-09,0.5,2010-12-31,0.5,2012-01-09,0.5,2011-12-31,0.5,2012,0.5
9,MW-BE-1s,2016-12-31,347.1198543830203,2017,787.5,2017-12-31,370.6401593721496,2018,730.0,2018-12-31,568.6531861795472,2019,710.0,2019-12-31,781.6200648811824,2020,652.5,2020-12-31,880.7107222555913,2020-10-22,650.0
10,MW-62d,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-11-20,0.5
11,2652 Dexter Rd,2007-12-31,0.5,2008,15.5,2008-12-31,0.5,2009,17.0,2009-12-31,0.5,2010,17.5,2010-12-31,0.5,2011,1.25,2011-12-31,0.5,2011-11-08,0.5
12,MW-87s,2013-12-31,2093.0008221758567,2014,747.5,2014-12-31,2939.978384717949,2015,1002.5,2015-12-31,3783.1447371076138,2016,845.0,2016-12-31,4622.691127319318,2017,470.0,2017-12-31,5458.817973933029,2017-02-02,470.0
13,IW-2,2016-12-31,2620.458463479505,2017,360.0,2017-12-31,3432.8176696920714,2018,365.0,2018-12-31,3779.481401653191,2019,1062.0,2019-12-31,4576.833312048103,2020,1750.0,2020-12-31,5367.219376971723,2020-11-18 00:00:00,1700.0
14,MW-41s,2016-12-31,23.0,2017,17.0,2017-12-31,24.0,2018,18.0,2018-12-31,25.0,2019,17.0,2019-12-31,25.0,2020,17.0,2020-12-31,26.0,2020-12-16,15.0
15,SW-2M,2006-12-31,14.862577567462536,2007,0.5,2007-12-31,1.2295878047464657,2008,0.5,2008-12-31,1.3286667419101512,2009,0.5,2009-12-31,1.427890922800774,2010,0.5,2010-12-31,1.5385738970977982,2010-08-05,0.5
16,4470 Jackson Rd,2015-12-31,0.5,2016,0.5,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5
17,MW-47d,2011-12-31,0.5,2012,0.5,2012-12-31,0.5,2013,0.5,2013-12-31,0.5,2014,0.5,2014-12-31,0.5,2015,0.5,2015-12-31,0.5,2015-11-13,0.5
18,MW-107,2016-12-31,705.3479750349544,2017,752.5,2017-12-31,870.4184342525499,2018,727.5,2018-12-31,1039.0642117991288,2019,720.0,2019-12-31,1211.800807803543,2020,675.0,2020-12-31,1389.134785374604,2020-10-21,670.0
19,TW-4,2016-12-31,34.99999999999999,2017,47.0,2017-12-31,34.99999999999999,2018,49.5,2018-12-31,34.99999999999999,2019,40.0,2019-12-31,34.99999999999999,2020,40.5,2020-12-31,34.99999999999999,2020-11-17,43.0
20,MW-53i,2016-12-31,40.52803538870245,2017,53.46153846153846,2017-12-31,42.28963992615306,2018,51.583333333333336,2018-12-31,44.05124446360365,2019,47.25,2019-12-31,45.81284900105426,2020,35.416666666666664,2020-12-31,47.5792798523061,2020-12-03,63.0
21,TW-3,2016-12-31,0.5,2017,0.75,2017-12-31,0.5,2018,4.35,2018-12-31,0.5,2019,41.0,2019-12-31,0.5,2020,42.5,2020-12-31,0.5,2020-11-23,42.0
22,4141 Jackson Rd,2015-12-31,5.859855233157017,2016,3.5,2016-12-31,5.746871302697215,2017,3.0,2017-12-31,5.6426009825353125,2018,1.5,2018-12-31,5.5460940161570464,2019,3.0,2019-12-31,5.456552069537236,2020,2.0
23,MW-100,2016-12-31,3378.728020768496,2017,2325.0,2017-12-31,4333.466791472165,2018,2250.0,2018-12-31,5449.2687119687325,2019,2125.0,2019-12-31,6529.936960664869,2020,2150.0,2020-12-31,8060.657062905433,2020-10-28,2200.0
24,SW-COMB,2009-12-31,329.1761918660559,2010,519.0,2010-12-31,291.14343070830887,2011,461.5833333333333,2011-12-31,252.72816115205964,2012,446.5,2012-12-31,215.24069818941504,2013,556.0,2013-12-31,179.00861981025903,2013-04-01,556.0
25,MW-9d,2005-12-31,7.216464865359235,2006,0.5,2006-12-31,7.063076971252034,2007,0.5,2007-12-31,6.693748890896348,2008,0.5,2008-12-31,6.127440991521134,2009,0.5,2009-12-31,5.399047688610451,2010,0.5
26,MW-106s,,,,,,,,,,,,,,,,,,,,
27,MW-15d,2016-12-31,3.241045010925741,2017,0.5,2017-12-31,13.397796229350108,2018,0.5,2018-12-31,58.98193426090986,2019,0.5,2019-12-31,195.82671212746757,2020,1.4,2020-12-31,616.2721096528795,2020-08-11,1.4
28,MW-KZ-1,2007-12-31,0.5,2008,0.5,2008-12-31,0.5,2009,0.5,2009-12-31,0.5,2010,0.5,2010-12-31,0.5,2011,0.5,2011-12-31,0.5,2011-11-15,0.5
29,MW-76i,2016-12-31,89.26217254331684,2017,110.83333333333333,2017-12-31,84.86708280983312,2018,100.5,2018-12-31,75.32153340873208,2019,95.66666666666667,2019-12-31,62.13012919784378,2020,88.33333333333333,2020-12-31,45.377546325478974,2020-12-02,120.0
30,MW-60,2016-12-31,4.0,2017,3.0,2017-12-31,4.0,2018,3.2,2018-12-31,4.0,2019,2.9,2019-12-31,4.0,2020,3.2,2020-12-31,4.0,2020-08-14,3.2
31,MW-56d,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-12-14,0.5
32,Bethlehem Cemetery,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-10-26,0.5
