,Unnamed: 0,Unnamed: 0.1,WellName,y_pred_1_date,y_pred_1_value,y_ture_1_date,y_true_1_value,y_pred_2_date,y_pred_2_value,y_ture_2_date,y_true_2_value,y_pred_3_date,y_pred_3_value,y_ture_3_date,y_true_3_value,y_pred_4_date,y_pred_4_value,y_ture_4_date,y_true_4_value,y_pred_5_date,y_pred_5_value,y_ture_5_date,y_true_5_value,rmse,rec_y_pred_1_date,rec_y_pred_1_value,rec_y_pred_2_date,rec_y_pred_2_value,rec_y_pred_3_date,rec_y_pred_3_value,rec_y_pred_4_date,rec_y_pred_4_value,rec_y_pred_5_date,rec_y_pred_5_value,rec_rmse
0,0,0,MW-112d,2016-12-31,0.5,2017,0.625,2017-12-31,0.5,2018,0.8,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.75,2020-12-31,0.5,2020-11-04,0.5,0.033625,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
1,1,1,MW-61d,2016-12-31,1.3372380696611188,2017,5.4,2017-12-31,1.4137545874425652,2018,6.5,2018-12-31,1.4902711052240112,2019,6.3,2019-12-31,1.5667876230054572,2020,9.25,2020-12-31,2.3888081062045865,2020-12-14,10.0,36.49428268295894,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,17.715527662464858
2,2,2,MW-42s,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-08-07,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
4,4,4,593 Allison,2011-12-31,657.7045211194187,2012,376.5,2012-12-31,726.3948860899094,2013,330.0,2013-12-31,795.7751897310609,2014,200.0,2014-12-31,865.5718154650684,2015,135.0,2015-12-31,935.538620668596,2015-11-23,160.0,345269.658963158,2015-12-31,410.0,2016-12-31,386.0,2017-12-31,363.0,2018-12-31,340.0,2019-12-31,317.0,7375.833063768179
5,5,5,AMW-1,2016-12-31,330.0,2017,300.0,2017-12-31,330.0,2018,320.0,2018-12-31,330.0,2019,340.0,2019-12-31,330.0,2020,250.0,2020-12-31,330.0,2020-08-21,250.0,2780.0,2015-12-31,376.5675400106149,2016-12-31,376.5675400106149,2017-12-31,376.5675400106149,2018-12-31,376.5675400106149,2019-12-31,376.5675400106149,16.066570285905595
6,6,6,MW-84s,2017-12-31,186.9200045413164,2018,48.80833333333333,2018-12-31,294.86642312268515,2019,71.47500000000001,2019-12-31,402.81284169763416,2020,225.3333333333333,,,,,,,,,,2015-12-31,506.6242659257285,2016-12-31,512.2842723223151,2017-12-31,518.1547956378819,2018-12-31,524.235170885597,2019-12-31,530.5247221115837,156747.0811407363
7,7,7,MW-82d,2012-12-31,1.3312702455692491,2013,0.5,2013-12-31,1.7079156896559209,2014,2.0,2014-12-31,2.069722372269425,2015,2.0,2015-12-31,2.4051612309219608,2016,0.5,2016-12-31,2.793909066411328,2016-09-12,0.5,1.9345685590969968,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
8,8,8,2950 Valley,2007-12-31,0.5,2007-08-09,0.5,2008-12-31,0.5,2007-08-09,0.5,2009-12-31,0.5,2012-01-09,0.5,2010-12-31,0.5,2012-01-09,0.5,2011-12-31,0.5,2012,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
9,9,9,MW-BE-1s,2016-12-31,347.1198543830203,2017,787.5,2017-12-31,370.6401593721496,2018,730.0,2018-12-31,568.6531861795472,2019,710.0,2019-12-31,781.6200648811824,2020,652.5,2020-12-31,880.7107222555913,2020-10-22,650.0,82590.50360110348,2015-12-31,637.8925702576405,2016-12-31,665.5392189346135,2017-12-31,693.2072053525922,2018-12-31,720.9610360194762,2019-12-31,748.8007109352661,5736.596986941916
10,10,10,MW-62d,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-11-20,0.5,0.0,2015-12-31,0.0,2016-12-31,0.0,2017-12-31,0.0,2018-12-31,0.0,2019-12-31,0.0,0.0
