,Unnamed: 0,WellName,y_pred_1_date,y_pred_1_value,y_ture_1_date,y_true_1_value,y_pred_2_date,y_pred_2_value,y_ture_2_date,y_true_2_value,y_pred_3_date,y_pred_3_value,y_ture_3_date,y_true_3_value,y_pred_4_date,y_pred_4_value,y_ture_4_date,y_true_4_value,y_pred_5_date,y_pred_5_value,y_ture_5_date,y_true_5_value,rmse
105,105,MW-98s,2016-12-31,0.5,2017,1.6,2017-12-31,0.5,2018,3.3,2018-12-31,0.5,2019,4.2,2019-12-31,0.5,2020,6.5,2020-12-31,0.5,2020-09-08,6.5,18.948
106,106,MW-16,2016-12-31,0.6163284587213668,2017,1.6,2017-12-31,0.612666948976282,2018,1.2,2018-12-31,0.6090054392311972,2019,1.7,2019-12-31,0.6053439294861125,2020,4.8,2020-12-31,0.6016723882074796,2020-08-10,4.8,7.544786646282384
107,107,MW-34d,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-10-09,0.5,0.0
108,108,MW-113,2016-12-31,58.37070127949749,2017,66.5,2017-12-31,61.6405158494995,2018,80.0,2018-12-31,64.92583617227494,2019,88.5,2019-12-31,68.22666224782377,2020,100.0,2020-12-31,71.54392513232624,2020-10-29,110.0,689.462408455612
109,109,MW-121d,2016-12-31,0.4377297250086039,2017,1.625,2017-12-31,0.3712401628163758,2018,2.025,2018-12-31,0.7952726104449681,2019,1.6749999999999998,2019-12-31,0.4831310148125995,2020,2.1,2020-12-31,1.0916817746168863,2020-10-08,2.3,1.7985501667893993
110,110,170 Aprill,2016-12-31,10.723302762339852,2017,6.6,2017-12-31,10.9009418684361,2018,4.0,2018-12-31,11.16460518126742,2019,3.5,2019-12-31,12.1363430030325,2020,3.7,2020-12-31,12.95129894961107,2020-08-17,3.7,56.025842489211094
111,111,MW-108s,2016-12-31,278.605066815828,2017,345.0,2017-12-31,51.993574893782544,2018,317.5,2018-12-31,3.086870662867376,2019,282.5,2019-12-31,0.0,2020,245.0,2020-12-31,0.0,2020-10-27,210.0,51419.72915423666
112,112,MW-54s,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-10-19,0.5,0.0
113,113,MW-27,2006-12-31,7.0,2007,10.0,2007-12-31,6.0,2008,10.0,2008-12-31,6.333333333333333,2009,5.0,2009-12-31,6.666666666666667,2010,16.0,2010-12-31,7.0,2011,7.0,22.77777777777777
114,114,MW-127s,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-12-08,0.5,0.0
